"course_id","course_title","url","is_paid","price","num_subscribers","num_reviews","num_lectures","level","content_duration","published_timestamp","subject"
"1070968","Ultimate Investment Banking Course","https://www.udemy.com/ultimate-investment-banking-course/","True","200","2147","23","51","All Levels","1.5","2017-01-18T20:58:58+00:00","Business Finance"
"1113822","Complete GST Course & Certification - Grow Your CA Practice","https://www.udemy.com/goods-and-services-tax/","True","75","2792","923","274","All Levels","39.0","2017-03-09T16:34:20+00:00","Business Finance"
"1006314","Financial Modeling for Business Analysts and Consultants","https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/","True","45","2174","74","51","Intermediate Level","2.5","2016-12-19T19:26:30+00:00","Business Finance"
"1210588","Beginner to Pro - Financial Analysis in Excel 2017","https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/","True","95","2451","11","36","All Levels","3.0","2017-05-30T20:07:24+00:00","Business Finance"
"1011058","How To Maximize Your Profits Trading Options","https://www.udemy.com/how-to-maximize-your-profits-trading-options/","True","200","1276","45","26","Intermediate Level","2.0","2016-12-13T14:57:18+00:00","Business Finance"
"192870","Trading Penny Stocks: A Guide for All Levels In 2017","https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/","True","150","9221","138","25","All Levels","3.0","2014-05-02T15:13:30+00:00","Business Finance"
"739964","Investing And Trading For Beginners: Mastering Price Charts","https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/","True","65","1540","178","26","Beginner Level","1.0","2016-02-21T18:23:12+00:00","Business Finance"
"403100","Trading Stock Chart Patterns For Immediate, Explosive Gains","https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/","True","95","2917","148","23","All Levels","2.5","2015-01-30T22:13:03+00:00","Business Finance"
"476268","Options Trading 3 : Advanced Stock Profit and Success Method","https://www.udemy.com/day-trading-stock-options-3/","True","195","5172","34","38","Expert Level","2.5","2015-05-28T00:14:03+00:00","Business Finance"
"1167710","The Only Investment Strategy You Need For Your Retirement","https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/","True","200","827","14","15","All Levels","1.0","2017-04-18T18:13:32+00:00","Business Finance"
"592338","Forex Trading Secrets of the Pros With Amazon's AWS","https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/","True","200","4284","93","76","All Levels","5.0","2015-09-11T16:47:02+00:00","Business Finance"
"975046","Trading Options With Money Flow","https://www.udemy.com/trading-options-using-money-flow/","True","200","1380","42","17","All Levels","1.0","2016-10-18T22:52:31+00:00","Business Finance"
"742602","Financial Management Risk and Return For Securities","https://www.udemy.com/risk-and-return-finance/","True","30","3607","21","19","All Levels","1.5","2016-02-03T18:04:01+00:00","Business Finance"
"794151","Forex Trading Course: Work Smarter Not Harder Proven Results","https://www.udemy.com/the-complete-trading-course/","True","195","4061","52","16","All Levels","2.0","2016-03-16T15:40:19+00:00","Business Finance"
"1196544","Python Algo Trading: Sentiment Trading with News","https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/","True","200","294","19","42","All Levels","7.0","2017-04-28T16:41:44+00:00","Business Finance"
"504036","Short Selling: Learn To Sell Stocks Before The Fall","https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/","True","75","2276","106","19","Intermediate Level","1.5","2015-06-22T21:18:35+00:00","Business Finance"
"719698","Basic Technical Analysis: Learn the structure of the market","https://www.udemy.com/learn-basic-technical-analysis/","True","20","4919","79","16","Beginner Level","1.5","2016-01-08T17:21:26+00:00","Business Finance"
"564966","The Complete Chart Pattern Trading Course: A Proven Approach","https://www.udemy.com/make-money-trading-stocks-from-home/","True","200","2666","115","52","All Levels","4.0","2015-08-10T21:07:35+00:00","Business Finance"
"606928","7 Deadly Mistakes of Investing that Will Slash Your Profits!","https://www.udemy.com/7-deadly-mistakes-of-investing/","True","50","5354","24","23","All Levels","1.5","2015-09-21T18:10:34+00:00","Business Finance"
"58977","Financial Statements Made Easy","https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/","True","95","8095","249","12","Beginner Level","0.5833333333333334","2013-06-09T00:21:26+00:00","Business Finance"
"1242604","Winning Forex Trading with Live Forex Trading Examples","https://www.udemy.com/forexmacross/","True","200","809","3","25","All Levels","2.0","2017-06-06T02:54:04+00:00","Business Finance"
"798740","Forex Traders - Create Your First Trading Robot. No Coding!","https://www.udemy.com/launch-your-amazing-forex-robot-in-30-minutes-no-coding/","True","200","2295","84","39","All Levels","4.0","2016-05-02T19:26:48+00:00","Business Finance"
"506568","Create A Business From Home Trading Stocks Today In 2017","https://www.udemy.com/work-from-home-buying-penny-stocks/","True","75","10149","83","16","All Levels","2.0","2015-05-26T17:25:46+00:00","Business Finance"
"1020760","Introduction to Accounting : Mastering Financial Statements","https://www.udemy.com/introduction-to-accounting-mastering-financial-statements/","True","50","1916","38","23","Beginner Level","1.0","2016-12-05T22:14:17+00:00","Business Finance"
"859742","The Complete Ethereum Course: Get .01 Ether In Your Wallet","https://www.udemy.com/ethereum/","True","45","2507","333","40","All Levels","2.0","2016-05-30T18:53:46+00:00","Business Finance"
