"Position","Team","Played","Won","Drawn","Lost","Goals For","Goals Against","Goal Difference","Points 1"
"1","Bangor City","42","27","8","7","108","60","+48","62"
"2","Mossley","42","24","11","7","76","43","+33","59"
"3","Witton Albion","42","22","10","10","75","44","+31","54"
"4","Gateshead","42","19","14","9","65","49","+15","52"
"5","King's Lynn","42","19","12","11","61","36","+25","50"
"6","Grantham","42","18","13","11","65","53","+12","49"
"7","Burton Albion","42","19","9","14","71","62","+9","47"
"8","Southport","42","16","14","12","63","55","+8","46"
"9","Marine","42","17","12","13","64","57","+7","46"
"10","Macclesfield Town","42","17","9","16","67","58","+9","43"
"11","Workington","42","18","7","17","62","60","+2","43"
"12","Worksop Town","42","15","13","14","52","60","−8","43"
"13","South Liverpool","42","13","13","16","55","57","−2","39"
"14","Goole Town","42","13","13","16","56","60","−4","39"
"15","Oswestry Town","42","14","11","17","55","59","−4","39"
"16","Buxton","42","14","11","17","48","56","−8","39"
"17","Lancaster City","42","13","12","17","47","50","−3","38"
"18","Gainsborough Trinity","42","10","13","19","60","69","−9","33"
"19","Tamworth","42","10","9","23","31","56","−25","29"
"20","Morecambe","42","9","11","22","43","86","−43","29"
"21","Matlock Town","42","7","12","23","38","72","−34","26"
"22","Netherfield","42","5","9","28","31","91","−60","19"
