"Year","Chassis","Engine","Start","Finish","Team"
"2004","Dallara","Chevrolet","16","31","Team Cheever"
"2005","Dallara","Toyota","26","11","Vision Racing"
"2006","Dallara","Honda","12","11","Vision Racing"
"2007","Dallara","Honda","14","17","Vision Racing"
"2008","Dallara","Honda","10","5","Vision Racing"
"2009","Dallara","Honda","17","8","Vision Racing"
"2010","Dallara","Honda","8","17","Panther Racing"
"2011","Dallara","Honda","8","11","Sarah Fisher Racing"
"2012","Dallara","Chevrolet","28","21","Ed Carpenter Racing"
"2013","Dallara","Chevrolet","1","10","Ed Carpenter Racing"
