"Series","Theme","Start","Finale","Days","Housemates","Winner","Prize money","Presenter","Co-presenter"
"Season 1","None.","28 February 2000","9 June 2000","103","13","John Milz","DM","Percy Hoven","Thorsten Wember & Sophie Rosentreter"
"Season 2","Back to Basics","16 September 2000","30 December 2000","106","17","Alida Kuras","DM","Oliver Geissen","Aleksandra Bechtel & Gudrun Loeb"
"Season 3","None.","27 January 2001","12 May 2001","106","13","Karina Schreiber","DM","Oliver Geissen","Aleksandra Bechtel & Gudrun Loeb"
"Season 4","The Battle","31 March 2003","7 July 2003","99","19","Jan Geilhufe","€","Aleksandra Bechtel","None."
"Season 5","365 Days - 1 Million Euro","2 March 2004","1 March 2005","365","59","Sascha Sirtl","€","Ruth Moschner","Oliver Petszokat"
"Season 6","The Village","1 March 2005","26 February 2006","363","59","Michael Knopf","€","Ruth Moschner","Jochen Bendel"
"Season 7","Who are you really?","5 February 2007","7 July 2007","148","17","Michael Carstensen","€","Charlotte Karlinder","Jürgen Milski"
"Season 8","Rich vs. Poor","7 January 2008","7 July 2008","183","25","Silke ""Isi"" Kaufmann","€","Charlotte Karlinder & Miriam Pielhau","Jürgen Milski"
"Season 9","Heaven and Hell","8 December 2008","6 July 2009","211","30","Daniel Schöller","€","Miriam Pielhau","Alida Kurras-Lauenstein"
"Season 10","Everyone got a secret","11 January 2010","9 August 2010","211","32","Timo Grätsch","€","Aleksandra Bechtel","Alida Kurras-Lauenstein"
"Season 11","The Secret","2 May 2011","12 September 2011","134","22","Marc Sonnen ""Rayo di Sole""","€","Sonja Zietlow","None."
