"Season #","Series #","Episode title","Original air date","Nick prod. #"
"1","124","Frankie Muniz","January19,2002","701"
"2","125","Melissa Joan Hart","January26,2002","702"
"3","126","P. Diddy","February2,2002","708"
"4","127","Britney Spears","February9,2002","703"
"5","128","Tony Hawk","February23,2002","704"
"6","129","David Arquette","March2,2002","711"
"7","130","Kenan Thompson","March9,2002","712"
"8","131","Barry Watson","March16,2002","710"
"9","132","Lisa Leslie","March23,2002","707"
"10","133","Amanda Bynes","April6,2002","705"
"11","134","Aaron Carter","April13,2002","706"
"12","135","Will Friedle","April27,2002","709"
"13","136","Christina Vidal","May4,2002","713"
