"Year","Average","High","Low","Sellouts","Total for year","WNBA game average"
"1997","8,937 (4th)","14,457","5,987","0","125,114","9,669"
"1998","7,653 (9th)","11,191","4,851","0","114,801","10,869"
"1999","7,625 (10th)","13,116","5,436","0","122,000","10,207"
"2000","6,563 (14th)","11,378","4,416","0","105,005","9,074"
"2001","9,278 (4th)","11,819","6,591","0","148,446","9,075"
"2002","11,651 (3rd)","18,542","7,487","0","186,410","9,228"
"2003","9,290 (4th)","11,320","6,710","0","157,934","8,800"
"2004","10,369 (2nd)","18,997","8,368","0","176,269","8,613"
"2005","8,839 (5th)","17,769","7,246","0","143,211","8,172"
"2006","8,312 (5th)","12,289","6,670","0","141,312","7,476"
"2007","8,695 (3rd)","13,092","6,748","0","147,810","7,742"
"2008","9,429 (2nd)","13,142","7,245","0","161,369","7,948"
"2009","10,387 (2nd)","13,865","8,263","0","176,587","8,039"
"2010","9,468 (2nd)","14,413","6,026","0","160,951","7,834"
"2011","10,316 (2nd)","14,266","7,522","0","175,366","7,954"
"2012","10,089 (1st)","12,639","8,312","0","171,511","7,452"
