"#","Date","Visitor","Score","Home","Record","Pts"
"1","November 10","Chicago Black Hawks","1–3","Detroit Red Wings","0–1–0","0"
"2","November 13","New York Americans","1–1","Chicago Black Hawks","0–1–1","1"
"3","November 17","Toronto Maple Leafs","1–3","Chicago Black Hawks","1–1–1","3"
"4","November 20","Montreal Canadiens","1–2","Chicago Black Hawks","2–1–1","5"
"5","November 22","Chicago Black Hawks","1–5","Boston Bruins","2–2–1","5"
"6","November 24","Chicago Black Hawks","1–1","New York Rangers","2–2–2","6"
"7","November 26","Chicago Black Hawks","1–2","Montreal Canadiens","2–3–2","6"
"8","November 29","Chicago Black Hawks","1–3","Ottawa Senators","2–4–2","6"
"9","December 4","New York Rangers","3–4","Chicago Black Hawks","3–4–2","8"
"10","December 6","Ottawa Senators","1–1","Chicago Black Hawks","3–4–3","9"
"11","December 8","Detroit Red Wings","1–3","Chicago Black Hawks","4–4–3","11"
"12","December 11","Montreal Maroons","2–2","Chicago Black Hawks","4–4–4","12"
"13","December 15","Boston Bruins","1–0","Chicago Black Hawks","4–5–4","12"
"14","December 18","Chicago Black Hawks","0–0","New York Americans","4–5–5","13"
"15","December 22","Chicago Black Hawks","4–1","Montreal Maroons","5–5–5","15"
"16","December 24","Chicago Black Hawks","2–1","Toronto Maple Leafs","6–5–5","17"
"17","December 25","Chicago Black Hawks","0–4","Detroit Red Wings","6–6–5","17"
"18","December 27","Toronto Maple Leafs","4–3","Chicago Black Hawks","6–7–5","17"
"19","January 1","Montreal Canadiens","1–4","Chicago Black Hawks","7–7–5","19"
"20","January 5","Boston Bruins","0–0","Chicago Black Hawks","7–7–6","20"
"21","January 8","Montreal Maroons","3–4","Chicago Black Hawks","8–7–6","22"
"22","January 10","Chicago Black Hawks","1–3","New York Americans","8–8–6","22"
"23","January 12","Chicago Black Hawks","2–4","Montreal Canadiens","8–9–6","22"
"24","January 15","New York Rangers","5–0","Chicago Black Hawks","8–10–6","22"
"25","January 19","New York Americans","0–6","Chicago Black Hawks","9–10–6","24"
"26","January 22","Ottawa Senators","1–2","Chicago Black Hawks","10–10–6","26"
"27","January 24","Chicago Black Hawks","0–3","Montreal Maroons","10–11–6","26"
"28","January 26","Chicago Black Hawks","3–1","New York Rangers","11–11–6","28"
"29","January 29","Chicago Black Hawks","0–4","New York Americans","11–12–6","28"
"30","January 31","Chicago Black Hawks","5–1","Boston Bruins","12–12–6","30"
"31","February 2","Chicago Black Hawks","1–1","Ottawa Senators","12–12–7","31"
"32","February 4","Chicago Black Hawks","2–2","Toronto Maple Leafs","12–12–8","32"
"33","February 5","Chicago Black Hawks","0–1","Detroit Red Wings","12–13–8","32"
"34","February 9","Detroit Red Wings","4–1","Chicago Black Hawks","12–14–8","32"
"35","February 12","Montreal Canadiens","0–2","Chicago Black Hawks","13–14–8","34"
"36","February 16","Boston Bruins","1–2","Chicago Black Hawks","14–14–8","36"
"37","February 19","Montreal Maroons","0–0","Chicago Black Hawks","14–14–9","37"
"38","February 21","Chicago Black Hawks","2–2","New York Rangers","14–14–10","38"
"39","February 23","Chicago Black Hawks","0–2","Montreal Canadiens","14–15–10","38"
"40","February 26","New York Rangers","4–1","Chicago Black Hawks","14–16–10","38"
"41","March 2","New York Americans","2–3","Chicago Black Hawks","15–16–10","40"
"42","March 5","Toronto Maple Leafs","2–1","Chicago Black Hawks","15–17–10","40"
"43","March 7","Ottawa Senators","1–5","Chicago Black Hawks","16–17–10","42"
"44","March 9","Chicago Black Hawks","3–3","Ottawa Senators","16–17–11","43"
"45","March 11","Chicago Black Hawks","2–6","Montreal Maroons","16–18–11","43"
"46","March 14","Chicago Black Hawks","2–3","Boston Bruins","16–19–11","43"
"47","March 19","Detroit Red Wings","4–3","Chicago Black Hawks","16–20–11","43"
"48","March 23","Chicago Black Hawks","2–2","Toronto Maple Leafs","16–20–12","44"
