"Pos","No","Driver","Team","Laps","Time/Retired","Grid","Points"
"1","2","Sébastien Bourdais","Newman/Haas Racing","84","1:45:36.930","1","34"
"2","12","Jimmy Vasser","PKV Racing","84","+1.396 secs","11","28"
"3","7","Patrick Carpentier","Forsythe Racing","84","+6.731 secs","6","25"
"4","5","Mario Haberfeld","Walker Racing","84","+7.892 secs","14","24"
"5","1","Paul Tracy","Forsythe Racing","84","+9.665 secs","2","23"
"6","19","Gastón Mazzacane","Dale Coyne Racing","84","+14.002 secs","16","19"
"7","8","Alex Tagliani","Rocketsports Racing","84","+28.444 secs","9","17"
"8","4","Ryan Hunter-Reay","Herdez Competition","84","+43.175 secs","7","15"
"9","11","Oriol Servià","Dale Coyne Racing","83","+ 1 Lap","10","13"
"10","14","Alex Sperafico","Mi-Jack Conquest Racing","83","+ 1 Lap","17","11"
"11","10","A. J. Allmendinger","RuSPORT","82","+ 2 Laps","8","10"
"12","34","Justin Wilson","Mi-Jack Conquest Racing","81","+ 3 Laps","5","9"
"13","21","Roberto González","PKV Racing","80","Contact","15","8"
"14","3","Rodolfo Lavín","Forsythe Racing","78","Stalled","13","7"
"15","9","Michel Jourdain, Jr.","RuSPORT","73","Contact","12","6"
"16","17","Memo Gidley","Rocketsports Racing","36","Contact","18","5"
"17","55","Mario Domínguez","Herdez Competition","0","Contact","4","4"
"18","6","Bruno Junqueira","Newman/Haas Racing","0","Contact","3","3"
