"Coach","Club","Wins","Loss","PCT.","PTS.","SOW"
"Bruce Arena","D.C. United","21","11","0.656","55","4"
"Ron Newman","Kansas City Wizards","21","11","0.656","49","7"
"John Kowalski","Tampa Bay Mutiny","17","15","0.531","45","3"
"Dave Dir","Dallas Burn","16","16","0.500","42","3"
"Tom Fitzgerald","Columbus Crew","15","17","0.469","39","3"
"Thomas Rongen","New England Revolution","15","17","0.469","37","4"
"Glenn Myernick","Colorado Rapids","14","18","0.438","38","2"
"Octavio Zambrano","Los Angeles Galaxy","13","7","0.650","37","1"
"Carlos Alberto Parreira","NY/NJ Metrostars","13","19","0.406","35","2"
"Brian Quinn","San Jose Clash","7","10","0.412","19","1"
"Laurie Calloway","San Jose Clash","5","10","0.333","11","2"
"Lothar Osiander","Los Angeles Galaxy","3","9","0.250","7","1"
