"Pos","No","Driver","Constructor","Time","Gap"
"1","1","Michael Schumacher","Ferrari","1:15.022","—"
"2","3","Juan Pablo Montoya","Williams","1:15.639","+0.617"
"3","10","Takuma Sato","BAR","1:15.809","+0.787"
"4","7","Jarno Trulli","Renault","1:16.144","+1.122"
"5","2","Rubens Barrichello","Ferrari","1:16.272","+1.250"
"6","4","Ralf Schumacher","Williams","1:16.293","+1.271"
"7","17","Olivier Panis","Toyota","1:16.313","+1.291"
"8","8","Fernando Alonso","Renault","1:16.422","+1.400"
"9","14","Mark Webber","Jaguar","1:16.514","+1.492"
"10","5","David Coulthard","McLaren","1:16.636","+1.614"
"11","16","Cristiano da Matta","Toyota","1:17.038","+2.016"
"12","11","Giancarlo Fisichella","Sauber","1:17.444","+2.422"
"13","6","Kimi Räikkönen","McLaren","1:17.445","+2.423"
"14","9","Jenson Button","BAR","1:17.575","+2.553"
"15","18","Nick Heidfeld","Jordan","1:17.802","+2.780"
"16","15","Christian Klien","Jaguar","1:17.812","+2.790"
"17","12","Felipe Massa","Sauber","1:17.866","+2.844"
"18","20","Gianmaria Bruni","Minardi","1:19.817","+4.795"
"19","19","Giorgio Pantano","Jordan","1:20.607","+5.585"
"20","21","Zsolt Baumgartner","Minardi","1:21.470","+6.448"
