"#","Date","Visitor","Score","Home","Record","Pts"
"1","November 12","Chicago Black Hawks","2–1","Toronto Maple Leafs","0–1–0","0"
"2","November 14","Montreal Canadiens","1–1","Toronto Maple Leafs","0–1–1","1"
"3","November 18","Toronto Maple Leafs","1–1","Chicago Black Hawks","0–1–2","2"
"4","November 21","New York Rangers","5–3","Toronto Maple Leafs","0–2–2","2"
"5","November 26","Toronto Maple Leafs","2–3","Montreal Canadiens","0–3–2","2"
"6","November 28","Boston Bruins","5–6","Toronto Maple Leafs","1–3–2","4"
"7","December 1","New York Americans","2–2","Toronto Maple Leafs","1–3–3","5"
"8","December 3","Toronto Maple Leafs","2–8","Montreal Maroons","1–4–3","5"
"9","December 5","Montreal Maroons","0–4","Toronto Maple Leafs","2–4–3","7"
"10","December 8","Toronto Maple Leafs","4–2","New York Rangers","3–4–3","9"
"11","December 12","Detroit Falcons","1–3","Toronto Maple Leafs","4–4–3","11"
"12","December 15","Toronto Maple Leafs","2–2","New York Americans","4–4–4","12"
"13","December 19","Montreal Maroons","2–4","Toronto Maple Leafs","5–4–4","14"
"14","December 20","Toronto Maple Leafs","0–1","Chicago Black Hawks","5–5–4","14"
"15","December 22","New York Americans","3–9","Toronto Maple Leafs","6–5–4","16"
"16","December 24","Toronto Maple Leafs","2–1","Montreal Canadiens","7–5–4","18"
"17","December 26","Montreal Canadiens","2–0","Toronto Maple Leafs","7–6–4","18"
"18","December 29","Toronto Maple Leafs","5–0","New York Americans","8–6–4","20"
"19","December 31","Montreal Maroons","1–3","Toronto Maple Leafs","9–6–4","22"
"20","January 3","Toronto Maple Leafs","2–3","Detroit Falcons","9–7–4","22"
"21","January 5","Toronto Maple Leafs","3–3","Boston Bruins","9–7–5","23"
"22","January 10","Toronto Maple Leafs","0–2","New York Rangers","9–8–5","23"
"23","January 12","Detroit Falcons","4–7","Toronto Maple Leafs","10–8–5","25"
"24","January 14","Toronto Maple Leafs","6–4","Montreal Maroons","11–8–5","27"
"25","January 17","Toronto Maple Leafs","0–4","New York Americans","11–9–5","27"
"26","January 19","New York Americans","3–11","Toronto Maple Leafs","12–9–5","29"
"27","January 21","Toronto Maple Leafs","1–3","Montreal Canadiens","12–10–5","29"
"28","January 23","Montreal Canadiens","0–2","Toronto Maple Leafs","13–10–5","31"
"29","January 30","New York Rangers","3–6","Toronto Maple Leafs","14–10–5","33"
"30","February 3","Toronto Maple Leafs","0–7","Chicago Black Hawks","14–11–5","33"
"31","February 6","Boston Bruins","0–6","Toronto Maple Leafs","15–11–5","35"
"32","February 7","Toronto Maple Leafs","1–3","Detroit Falcons","15–12–5","35"
"33","February 13","Montreal Maroons","0–6","Toronto Maple Leafs","16–12–5","37"
"34","February 16","Toronto Maple Leafs","0–3","Boston Bruins","16–13–5","37"
"35","February 18","New York Rangers","3–5","Toronto Maple Leafs","17–13–5","39"
"36","February 20","Toronto Maple Leafs","0–3","Montreal Maroons","17–14–5","39"
"37","February 23","Toronto Maple Leafs","4–4","New York Americans","17–14–6","40"
"38","February 25","Detroit Falcons","5–3","Toronto Maple Leafs","17–15–6","40"
"39","February 27","Chicago Black Hawks","2–4","Toronto Maple Leafs","18–15–6","42"
"40","March 1","New York Americans","1–3","Toronto Maple Leafs","19–15–6","44"
"41","March 5","Montreal Canadiens","1–1","Toronto Maple Leafs","19–15–7","45"
"42","March 10","Toronto Maple Leafs","1–3","Montreal Maroons","19–16–7","45"
"43","March 12","Boston Bruins","3–5","Toronto Maple Leafs","20–16–7","47"
"44","March 15","Toronto Maple Leafs","2–6","Boston Bruins","20–17–7","47"
"45","March 17","Toronto Maple Leafs","6–3","New York Rangers","21–17–7","49"
"46","March 19","Chicago Black Hawks","3–11","Toronto Maple Leafs","22–17–7","51"
"47","March 20","Toronto Maple Leafs","3–2","Detroit Falcons","23–17–7","53"
"48","March 22","Toronto Maple Leafs","2–4","Montreal Canadiens","23–18–7","53"
