"#","Episode","Air Date","Timeslot","18-49","Viewers"
"21","Gary Has a Dream","September 23, 2009","Wednesday 8:30 pm","2.4/7","7.37"
"22","Gary Promises Too Much","September 30, 2009","Wednesday 8:30 pm","2.3/7","7.08"
"23","Gary's Demo","October 7, 2009","Wednesday 8:30 pm","2.2/6","7.17"
"24","Gary Shoots Fish in a Barrel","October 14, 2009","Wednesday 8:30 pm","2.4/7","7.38"
"25","Gary on the Air","October 21, 2009","Wednesday 8:30 pm","2.2/6","6.76"
"26","Gary Tries to Do It All","November 4, 2009","Wednesday 8:30 pm","2.0/5","6.29"
"27","Gary and Allison's Friend","November 11, 2009","Wednesday 8:30 pm","2.4/6","7.30"
"28","Gary Apologizes","November 18, 2009","Wednesday 8:30 pm","2.4/7","7.00"
"29","Gary Keeps a Secret","November 25, 2009","Wednesday 8:30 pm","1.8/6","6.68"
"30","Gary Gives Sasha His Full Attention","December 9, 2009","Wednesday 8:30 pm","2.3/6","7.01"
"31","Gary Is a Boat Guy","December 16, 2009","Wednesday 8:30 pm","2.5/7","7.76"
"32","Gary Feels Tom Slipping Away","January 13, 2010","Wednesday 8:30 pm","1.9/5","5.59"
"33","Gary Has to Choose","January 20, 2010","Wednesday 8:30 pm","1.8/5","5.89"
"34","Gary Lowers the Bar","February 10, 2010","Wednesday 8:30 pm","2.4/7","7.49"
"35","Gary's Big Mouth","March 4, 2010","Wednesday 8:30 pm","2.0/5","6.02"
"36","Gary Tries to Find Something for Mitch","March 10, 2010","Wednesday 8:30 pm","2.2/7","6.83"
"37","Gary Unmarried?","March 17, 2010","Wednesday 8:30 pm","1.8/5","5.70"
