"Game","Date","Opponent","Score","[Three_stars_(ice_hockey)|First Star]","Decision","Location","Attendance","Record","Points"
"1","October 8","Washington Capitals","4-2","E. Kane","C. Mason","Philips Arena","15,596","1-0-0","2"
"2","October 9","Tampa Bay Lightning","3-5","S. Stamkos","C. Mason","St. Pete Times Forum","19,791","1-1-0","2"
"3","October 12","Los Angeles Kings","1-3","J. Quick","C. Mason","Staples Center","18,118","1-2-0","2"
"4","October 15","Anaheim Ducks","5-4 SO","A. Stewart","C. Mason","Honda Center","13,123","2-2-0","4"
"5","October 16","San Jose Sharks","4-2","C. Mason","C. Mason","HP Pavilion","17,562","3-2-0","6"
"6","October 20","Buffalo Sabres","1-4","T. Myers","C. Mason","Philips Arena","8,820","3-3-0","6"
"7","October 22","Tampa Bay Lightning","2-5","S. Stamkos","C. Mason","Philips Arena","9,138","3-4-0","6"
"8","October 23","Washington Capitals","3-4 OT","A. Semin","C. Mason","Verizon Center","18,398","3-4-1","7"
"9","October 27","New York Rangers","6-4","N. Bergfors","C. Mason","MSG","17,900","4-4-1","9"
"10","October 29","Buffalo Sabres","4-3 OT","D. Byfuglien","C. Mason","Philips Arena","10,172","5-4-1","11"
"11","October 30","St. Louis Blues","3-4 SO","J. McClement","O. Pavelec","Scottrade Center","19,150","5-4-2","12"
