"#","Date","Visitor","Score","Home","Record","Pts"
"1","October 15","Chicago Black Hawks","2–4","Detroit Red Wings","0–1–0","0"
"2","October 18","Chicago Black Hawks","2–4","Montreal Canadiens","0–2–0","0"
"3","October 25","Chicago Black Hawks","1–5","Toronto Maple Leafs","0–3–0","0"
"4","October 26","Chicago Black Hawks","2–3","Boston Bruins","0–4–0","0"
"5","October 29","Detroit Red Wings","5–2","Chicago Black Hawks","0–5–0","0"
"6","November 2","Montreal Canadiens","4–2","Chicago Black Hawks","0–6–0","0"
"7","November 5","Boston Bruins","2–1","Chicago Black Hawks","0–7–0","0"
"8","November 9","New York Rangers","5–8","Chicago Black Hawks","1–7–0","2"
"9","November 12","Chicago Black Hawks","5–4","Toronto Maple Leafs","2–7–0","4"
"10","November 13","Chicago Black Hawks","2–5","Montreal Canadiens","2–8–0","4"
"11","November 15","Chicago Black Hawks","5–3","New York Rangers","3–8–0","6"
"12","November 16","Toronto Maple Leafs","5–4","Chicago Black Hawks","3–9–0","6"
"13","November 19","Montreal Canadiens","2–2","Chicago Black Hawks","3–9–1","7"
"14","November 22","Chicago Black Hawks","5–8","Detroit Red Wings","3–10–1","7"
"15","November 23","Detroit Red Wings","9–3","Chicago Black Hawks","3–11–1","7"
"16","November 26","Boston Bruins","3–5","Chicago Black Hawks","4–11–1","9"
"17","November 30","New York Rangers","6–2","Chicago Black Hawks","4–12–1","9"
"18","December 3","Chicago Black Hawks","4–4","Boston Bruins","4–12–2","10"
"19","December 6","Chicago Black Hawks","5–12","Toronto Maple Leafs","4–13–2","10"
"20","December 7","Toronto Maple Leafs","3–2","Chicago Black Hawks","4–14–2","10"
"21","December 10","Boston Bruins","5–6","Chicago Black Hawks","5–14–2","12"
"22","December 13","Chicago Black Hawks","3–4","Detroit Red Wings","5–15–2","12"
"23","December 14","Montreal Canadiens","4–3","Chicago Black Hawks","5–16–2","12"
"24","December 17","Detroit Red Wings","7–1","Chicago Black Hawks","5–17–2","12"
"25","December 21","Toronto Maple Leafs","3–1","Chicago Black Hawks","5–18–2","12"
"26","December 23","New York Rangers","1–7","Chicago Black Hawks","6–18–2","14"
"27","December 25","Chicago Black Hawks","6–1","Boston Bruins","7–18–2","16"
"28","December 27","Chicago Black Hawks","1–3","Montreal Canadiens","7–19–2","16"
"29","December 31","Chicago Black Hawks","0–4","Detroit Red Wings","7–20–2","16"
"30","January 1","Detroit Red Wings","4–1","Chicago Black Hawks","7–21–2","16"
"31","January 4","Chicago Black Hawks","4–1","New York Rangers","8–21–2","18"
"32","January 10","Chicago Black Hawks","4–6","Toronto Maple Leafs","8–22–2","18"
"33","January 11","Boston Bruins","1–4","Chicago Black Hawks","9–22–2","20"
"34","January 14","Chicago Black Hawks","2–4","New York Rangers","9–23–2","20"
"35","January 17","Chicago Black Hawks","1–3","Montreal Canadiens","9–24–2","20"
"36","January 18","Chicago Black Hawks","5–4","Detroit Red Wings","10–24–2","22"
"37","January 21","Montreal Canadiens","1–3","Chicago Black Hawks","11–24–2","24"
"38","January 24","Chicago Black Hawks","1–2","Toronto Maple Leafs","11–25–2","24"
"39","January 25","Toronto Maple Leafs","4–4","Chicago Black Hawks","11–25–3","25"
"40","January 28","New York Rangers","3–2","Chicago Black Hawks","11–26–3","25"
"41","January 31","Chicago Black Hawks","7–4","Boston Bruins","12–26–3","27"
"42","February 1","Chicago Black Hawks","2–2","New York Rangers","12–26–4","28"
"43","February 3","Detroit Red Wings","4–1","Chicago Black Hawks","12–27–4","28"
"44","February 5","Chicago Black Hawks","7–2","Montreal Canadiens","13–27–4","30"
"45","February 8","New York Rangers","2–2","Chicago Black Hawks","13–27–5","31"
"46","February 11","Chicago Black Hawks","3–0","Boston Bruins","14–27–5","33"
"47","February 15","Montreal Canadiens","1–2","Chicago Black Hawks","15–27–5","35"
"48","February 18","Boston Bruins","4–2","Chicago Black Hawks","15–28–5","35"
"49","February 22","Toronto Maple Leafs","3–2","Chicago Black Hawks","15–29–5","35"
"50","February 25","Chicago Black Hawks","7–4","New York Rangers","16–29–5","37"
"51","February 28","Chicago Black Hawks","3–4","Toronto Maple Leafs","16–30–5","37"
"52","February 29","Boston Bruins","1–5","Chicago Black Hawks","17–30–5","39"
"53","March 3","Chicago Black Hawks","3–3","Boston Bruins","17–30–6","40"
"54","March 7","Montreal Canadiens","3–9","Chicago Black Hawks","18–30–6","42"
"55","March 9","Detroit Red Wings","1–4","Chicago Black Hawks","19–30–6","44"
"56","March 10","Chicago Black Hawks","2–7","Detroit Red Wings","19–31–6","44"
"57","March 14","Toronto Maple Leafs","3–0","Chicago Black Hawks","19–32–6","44"
"58","March 17","New York Rangers","5–2","Chicago Black Hawks","19–33–6","44"
"59","March 20","Chicago Black Hawks","4–7","Montreal Canadiens","19–34–6","44"
"60","March 21","Chicago Black Hawks","4–3","New York Rangers","20–34–6","46"
