"No.","Year","Tournament","Surface","Round","Winner","Score"
"1.","2005","Miami","Hard","4R","Ivanovic","6–3, 3–6, 7–5"
"2.","2006","Sydney","Hard","QF","Kuznetsova","7–6 (7–3) , 6–3"
"3.","2007","Berlin","Clay","F","Ivanovic","3–6, 6–4, 7–6 (7–4)"
"4.","2007","Paris","Clay","QF","Ivanovic","6–0, 3–6, 6–1"
"5.","2007","Madrid","Hard (i)","Round Robin","Ivanovic","6–1, 4–6, 7–5"
"6.","2008","Indian Wells","Hard","F","Ivanovic","6–4, 6–3"
"7.","2010","Belgrade","Hard (i)","N/A","Kuznetsova","6–1, 6–4"
"8.","2011","Beijing","Hard","2R","Ivanovic","6–2, 6–3"
"9.","2012","Moscow","Clay (i)","N/A","Kuznetsova","6–2, 2–6, 6–4"
"10.","2012","Rome","Clay","1R","Ivanovic","6–4, 6–3"
"11.","2013","Miami","Hard","3R","Ivanovic","6–3, 6–3"
