"Sl No","Name","Party Name","Postal Ballot","[Thiruvottiyur_(State_Assembly_Constituency)|10. Thiruvottiyur]","[Dr._Radhakrishnan_Nagar_(State_Assembly_Constituency)|11. Dr. Radhakrishnan Nagar]","[Perambur_(State_Assembly_Constituency)|12. Perambur (SC)]","[Kolathur_(SC)_(State_Assembly_Constituency)|13. Kolathur (SC)]","16. Thiru-vi-ka Nagar","[Royapuram_(State_Assembly_Constituency)|17. Royapuram]","[Voting_machine|EVM]","Total Votes"
"1","T.K.S. Elangovan","DMK","59","50,732","41,131","51,335","51,723","45,700","40,375","280,996","281,055"
"2","SANTHASHRINI J.O.R","BSP","0","389","479","706","1,231","783","364","3952","3952"
"3","TAMILISAISOUNDARA RAJAN","BJP","1","3,442","3,981","3,950","5,005","3,452","3,519","23,349","23,350"
"4","D. Pandian","CPI","9","53,684","50,936","50,845","33,343","37,922","35,163","261,893","261,902"
"5","ANANDHU.K","LJSP","0","262","288","276","179","238","199","1,442","1,442"
"6","SATHISH KUMAR.K.P","MMK","0","66","114","140","115","241","138","814","814"
"7","PALANIMOSES. N","PKMK","0","113","150","134","104","118","109","728","728"
"8","MOHAMMED ABDULLAH","RPI(A)","0","289","240","319","229","326","216","1,619","1,619"
"9","YUVARAJ. V","DMDK","0","11,213","12,368","14,350","10,612","9,881","7,951","66,375","66,375"
"10","ARUMUGAM. K","IND","0","73","97","103","83","90","63","509","509"
"11","ANANDARAJ.G","IND","0","50","58","63","56","49","37","313","313"
"12","KADHIRAVAN. M","IND","0","96","119","92","60","71","64","502","502"
"13","GIRIRAJ.D","IND","0","111","164","127","84","130","93","709","709"
"14","SANKAR.K","IND","0","44","78","61","44","55","33","315","315"
"15","SATHISH.C","IND","0","49","61","76","47","63","35","331","331"
"16","SATHISH. T.P","IND","0","258","288","260","176","262","200","1,444","1,444"
"17","SARAVANAN.M","IND","0","304","367","403","249","282","310","1915","1915"
"18","SIVAKUMAR.V","IND","0","132","219","232","137","154","98","972","972"
"19","THEYAGARAJAN.V","IND","0","79","114","115","72","82","76","538","538"
"20","DEEPA","IND","0","352","403","364","211","256","300","1886","1886"
"21","NIRMAL KUMAR.A","IND","0","82","97","114","76","95","67","531","531"
"22","BHASKARAN.V ALIAS AAVIN V.BHASKARAN","IND","0","620","730","763","486","490","369","3,458","3,458"
"23","MARIMUTHU.P","IND","0","47","94","93","72","68","66","440","440"
"24","RAMESH.D","IND","0","48","80","75","52","43","40","338","338"
"25","RAJARAM.R","IND","0","81","104","123","76","89","78","551","551"
"26","RUDRAMOORTHY.M","IND","0","63","73","69","51","71","44","371","371"
"27","VINOBHAGANDHI.C.H","IND","0","49","75","78","72","66","35","375","375"
"28","ZEENATH UNNISSA BEGUM.M.B.","IND","0","87","95","95","87","86","78","528","528"
"29","JAYACHANDRAN.K.","IND","0","435","609","563","331","366","322","2,626","2,626"
