"#","Name","Date of Birth","Height","Weight","Spike","Block"
"2","Mohamed Trabelsi","15.09.1981","202","92","340","320"
"3","Mehdi Gara","01.03.1981","189","78","332","317"
"4","Walid Ben Abbes","19.06.1980","186","76","331","308"
"5","Samir Sellami","13.07.1977","194","82","320","308"
"7","Chaker Ghezal","14.01.1977","199","90","352","335"
"9","Khaled Belaïd","30.12.1973","195","82","326","312"
"11","Marouane Fehri","01.07.1979","197","79","325","306"
"13","Noureddine Hfaiedh","27.08.1973","200","86","350","315"
"14","Mehrez Berriri","13.04.1975","186","80","328","305"
"15","Ghazi Guidara","18.05.1974","186","75","326","305"
"17","Mohamed Slim Chekili","15.03.1985","198","82","328","309"
"18","Hosni Karamosly","01.06.1980","197","82","338","315"
