"Pos","No","Driver","Team","Laps","Time/Retired","Grid","Points"
"1","6","Bruno Junqueira","Newman/Haas Racing","69","1:39:12.432","4","32"
"2","7","Patrick Carpentier","Forsythe Racing","69","+6.382 secs","6","27"
"3","55","Mario Domínguez","Herdez Competition","69","+11.142 secs","3","26"
"4","1","Paul Tracy","Forsythe Racing","69","+16.874 secs","5","23"
"5","10","A. J. Allmendinger","RuSPORT","69","+17.561 secs","2","22"
"6","9","Michel Jourdain, Jr.","RuSPORT","69","+32.256 secs","12","20"
"7","8","Alex Tagliani","Rocketsports Racing","69","+32.300 secs","7","17"
"8","12","Jimmy Vasser","PKV Racing","69","+34.097 secs","11","15"
"9","11","Oriol Servià","Dale Coyne Racing","69","+42.654 secs","10","13"
"10","21","Roberto González","PKV Racing","69","+1:09.190","15","11"
"11","3","Rodolfo Lavín","Forsythe Racing","69","+1:18.083","14","10"
"12","19","Gastón Mazzacane","Dale Coyne Racing","67","+ 2 Laps","18","9"
"13","5","Mario Haberfeld","Walker Racing","65","+ 4 Laps","17","8"
"14","34","Justin Wilson","Mi-Jack Conquest Racing","55","Gearbox","8","7"
"15","2","Sébastien Bourdais","Newman/Haas Racing","42","Contact","1","10"
"16","17","Guy Smith","Rocketsports Racing","27","Engine","16","5"
"17","14","Nelson Philippe","Mi-Jack Conquest Racing","21","Lost wheel","13","4"
"18","4","Ryan Hunter-Reay","Herdez Competition","5","Contact","9","3"
