"Pos","No","Driver","Team","Laps","Time/Retired","Grid","Points"
"1","51","Adrian Fernández","Fernández Racing","100","1:56:16.626","3","20"
"2","3","Paul Tracy","Team Player's","100","+2.3 secs","1","18"
"3","33","Alex Tagliani","Rocketsports Racing","100","+4.5 secs","5","14"
"4","1","Bruno Junqueira","Newman/Haas Racing","100","+8.6 secs","11","12"
"5","20","Oriol Servià","Patrick Racing","100","+10.0 secs","6","10"
"6","15","Darren Manning","Walker Racing","100","+10.9 secs","8","8"
"7","12","Jimmy Vasser","American Spirit Team Johansson","100","+11.2 secs","9","6"
"8","34","Mario Haberfeld","Mi-Jack Conquest Racing","100","+13.3 secs","12","5"
"9","4","Roberto Moreno","Herdez Competition","100","+14.5 secs","14","4"
"10","55","Mario Domínguez","Herdez Competition","100","+14.9 secs","16","3"
"11","5","Rodolfo Lavín","Walker Racing","100","+17.9 secs","13","2"
"12","9","Michel Jourdain, Jr.","Team Rahal","99","+ 1 Lap","2","2"
"13","11","Geoff Boss","Dale Coyne Racing","96","+ 4 Laps","18","0"
"14","2","Sébastien Bourdais","Newman/Haas Racing","91","Mechanical","4","0"
"15","27","Max Papis","PK Racing","87","Contact","15","0"
"16","32","Patrick Carpentier","Team Player's","73","Contact","10","0"
"17","31","Ryan Hunter-Reay","American Spirit Team Johansson","21","Mechanical","7","0"
"18","19","Gualter Salles","Dale Coyne Racing","16","Mechanical","19","0"
"19","7","Tiago Monteiro","Fittipaldi-Dingman Racing","5","Mechanical","17","0"
