"Round","Pick #","Overall","Name","Position","College"
"3","1","54","Mike Jones","Tight End","Texas A&amp;M"
"3","21","74","Marion Hobby","Defensive End","Tennessee"
"4","23","104","Alonzo Hampton","Cornerback","Pittsburgh"
"5","7","116","Reggie Thornton","Wide Receiver","Bowling Green"
"5","22","131","Cedric Smith","Running Back","Florida"
"7","23","188","John Levelis","Linebacker","C.W. Post"
"8","21","214","Craig Schlichting","Defensive End","Wyoming"
"9","21","241","Terry Allen","Running Back","Clemson"
"10","1","249","Pat Newman","Wide Receiver","Utah State"
"10","23","271","Donald Smith","Defensive Back","Liberty"
"12","20","324","Ron Goetz","Linebacker","Minnesota"
