"Game","Date","Opponent","Score","Location","Attendance","Record","Points"
"26","December 2","Boston Bruins","4 – 1","TD Garden","16,533","10–8–8","28"
"27","December 4","New Jersey Devils","3 – 2","Prudential Center","15,336","10–9–8","28"
"28","December 5","New York Islanders","4 – 0","St. Pete Times Forum","13,577","11–9–8","30"
"29","December 7","Washington Capitals","3 – 0","St. Pete Times Forum","12,400","11–10–8","30"
"30","December 9","Edmonton Oilers","3 – 2","St. Pete Times Forum","13,477","11–11–8","30"
"31","December 11","Colorado Avalanche","2 – 1 (SO)","Pepsi Center","12,188","11–11–9","31"
"32","December 13","Chicago Blackhawks","4 – 0","United Center","21,081","11–12–9","31"
"33","December 15","Nashville Predators","7 – 4","Sommet Center","15,804","11–13–9","31"
"34","December 17","Detroit Red Wings","3 – 0","Joe Louis Arena","19,474","11–14–9","31"
"35","December 18","St. Louis Blues","6 – 3","Scottrade Center","19,150","12–14–9","33"
"36","December 21","New York Islanders","4 – 2","Nassau Veterans Memorial Coliseum","10,864","13–14–9","35"
"37","December 23","Philadelphia Flyers","5 – 2","St. Pete Times Forum","16,177","13–15–9","35"
"38","December 26","Atlanta Thrashers","4 – 3","St. Pete Times Forum","15,437","14–15–9","37"
"39","December 28","Boston Bruins","2 – 1","St. Pete Times Forum","16,926","15–15–9","39"
"40","December 30","Montreal Canadiens","2 – 1 (OT)","St. Pete Times Forum","18,441","15–15–10","40"
