"No","Peak","Location","Elevation (m)","Prominence (m)","[Mountain_pass|Col height]","Col location","Parent"
"1","Mont Blanc","France","4,810","4,697","113","Lake Kubenskoye","Everest"
"2","Grossglockner","Austria","3,798","2,423","1375","Brenner Pass","Mont Blanc"
"3","Finsteraarhorn","Switzerland","4,274","2,280","1994","Simplon Pass","Mont Blanc"
"4","Wildspitze","Austria","3,768","2,261","1507","Reschen Pass","Finsteraarhorn"
"5","Piz Bernina","Switzerland","4,049","2,234","1815","Maloja Pass","Finsteraarhorn"
"6","Hochkönig","Austria","2,941","2,181","760","Maishofen","Grossglockner"
"7","Monte Rosa","Switzerland","4,634","2,165","2469","Great St Bernard Pass","Mont Blanc"
"8","Hoher Dachstein","Austria","2,995","2,136","859","Eben im Pongau","Grossglockner"
"9","Marmolada","Italy","3,343","2,131","1212","Toblach","Grossglockner"
"10","Monte Viso","Italy","3,841","2,062","1779","Mauvais Pass","Mont Blanc"
"11","Triglav","Slovenia","2,864","2,052","812","Camporosso Pass","Marmolada"
"12","Barre des Écrins","France","4,102","2,045","2057","Col du Lautaret","Mont Blanc"
"13","Säntis","Switzerland","2,503","2,021","482","Heiligkreuz","Finsteraarhorn"
"14","Ortler","Italy","3,905","1,953","1952","Fraele Pass","Piz Bernina"
"15","Monte Baldo","Italy","2,218","1,950","268","San Giovanni Pass","Ortler"
"16","Gran Paradiso","Italy","4,061","1,891","2170","Little St Bernard Pass","Mont Blanc"
"17","Pizzo di Coca","Italy","3,050","1,878","1172","Aprica","Ortler"
"18","Cima Dodici","Italy","2,336","1,874","462","Pergine Valsugana","Marmolada"
"19","Dents du Midi","Switzerland","3,257","1,796","1461","Col des Montets","Mont Blanc"
"20","Chamechaude","France","2,082","1,771","311","Chambéry","Mont Blanc"
"21","Zugspitze","Germany","2,962","1,746","1216","Fern Pass","Finsteraarhorn"
"22","Monte Antelao","Italy","3,264","1,735","1529","Passo Cimabanche","Marmolada"
"23","Arcalod","France","2,217","1,713","504","Viuz","Mont Blanc"
"24","Grintovec","Slovenia","2,558","1,706","852","Rateče","Triglav"
"25","Großer Priel","Austria","2,515","1,700","810","Pichl-Kainisch","Hoher Dachstein"
"26","Grigna Settentrionale","Italy","2,409","1,686","723","Balisio","Pizzo di Coca"
"27","Monte Bondone","Italy","2,180","1,679","501","Cadine","Ortler"
"28","Presanella","Italy","3,558","1,676","1882","Tonale Pass","Ortler"
"29","Birnhorn","Austria","2,634","1,665","969","Hochfilzen","Grossglockner"
"30","Col Nudo","Italy","2,471","1,644","827","Passo di Sant'Osvaldo","Antelao"
"31","Pointe Percée","France","2,750","1,643","1107","Pont d'Arbon","Mont Blanc"
"32","Jôf di Montasio","Italy","2,753","1,597","1156","Predil Pass","Triglav"
"33","Mölltaler Polinik","Austria","2,784","1,579","1205","Iselsberg Pass","Grossglockner"
"34","Tödi","Switzerland","3,614","1,570","2044","Oberalp Pass","Finsteraarhorn"
"35","Birkkarspitze","Austria","2,749","1,569","1180","Seefeld in Tirol","Zugspitze"
"36","Ellmauer Halt","Austria","2,344","1,551","793","Ellmau","Grossglockner"
"37","Grande Tête de l'Obiou","France","2,790","1,542","1248","Col Bayard","Barre des Écrins"
"38","Cima Tosa","Italy","3,173","1,521","1652","Campo Carlo Magno","Presanella"
"39","Hochtor","Austria","2,369","1,520","849","Schober Pass","Grossglockner"
"40","Grimming","Austria","2,351","1,518","833","Schrödis","Großer Priel"
"41","Grand Combin","Switzerland","4,314","1,517","2797","Fenêtre de Durand","Monte Rosa"
"42","La Tournette","France","2,351","1,514","837","Col du Marais","Pointe Percée"
"43","Zirbitzkogel","Austria","2,396","1,502","894","Neumarkter Sattel","Grossglockner"
"44","Piz Kesch","Switzerland","3,418","1,502","1916","Lukmanier Pass","Finsteraarhorn"
