"Pos","No","Driver","Constructor","Time","Diff."
"1","8","Mika Häkkinen","McLaren","1:48.682","Pole"
"2","7","David Coulthard","McLaren","1:48.845","+0.163"
"3","9","Damon Hill","Jordan","1:49.728","+1.046"
"4","3","Michael Schumacher","Ferrari","1:50.027","+1.345"
"5","4","Eddie Irvine","Ferrari","1:50.189","+1.507"
"6","1","Jacques Villeneuve","Williams","1:50.204","+1.522"
"7","5","Giancarlo Fisichella","Benetton","1:50.462","+1.780"
"8","10","Ralf Schumacher","Jordan","1:50.501","+1.819"
"9","2","Heinz-Harald Frentzen","Williams","1:50.686","+2.004"
"10","14","Jean Alesi","Sauber","1:51.189","+2.507"
"11","6","Alexander Wurz","Benetton","1:51.648","+2.966"
"12","15","Johnny Herbert","Sauber","1:51.851","+3.169"
"13","12","Jarno Trulli","Prost","1:52.572","+3.890"
"14","18","Rubens Barrichello","Stewart","1:52.670","+3.988"
"15","11","Olivier Panis","Prost","1:52.784","+4.102"
"16","16","Pedro Diniz","Arrows","1:53.037","+4.355"
"17","19","Jos Verstappen","Stewart","1:53.149","+4.467"
"18","17","Mika Salo","Arrows","1:53.207","+4.525"
"19","21","Toranosuke Takagi","Tyrrell","1:53.237","+4.555"
"20","20","Ricardo Rosset","Tyrrell","1:54.850","+6.168"
"21","22","Shinji Nakano","Minardi","1:55.084","+6.402"
"22","23","Esteban Tuero","Minardi","1:55.520","+6.838"
