"Rank","Name","Team","Goals"
"1","Ronald Koeman","Barcelona","8"
"1","Wynton Rufer","Werder Bremen","8"
"3","Luc Nilis","Anderlecht","7"
"3","Hristo Stoichkov","Barcelona","7"
"5","Bernd Hobsch","Werder Bremen","5"
"5","Valery Karpin","Spartak Moscow","5"
"7","Marco Bode","Werder Bremen","4"
"7","Jürgen Klinsmann","AS Monaco","4"
"7","Daniele Massaro","Milan","4"
"7","Viktor Onopko","Spartak Moscow","4"
"7","Jean-Pierre Papin","Milan","4"
"7","Nikolai Pisarev","Spartak Moscow","4"
"7","Sergey Rodionov","Spartak Moscow","4"
"7","Kubilay Türkyilmaz","Galatasaray","4"
"15","John Bosman","Anderlecht","3"
"15","Jerzy Podbrożny","Lech","3"
"15","Danny Boffin","Anderlecht","3"
"15","Victor Ikpeba","AS Monaco","3"
"15","Domingos","Porto","3"
"15","Dejan Savićević","Milan","3"
"15","Youri Djorkaeff","AS Monaco","3"
