"Position","Team","Played","Won","Drawn","Lost","Goals For","Goals Against","Goal Difference","Points 1"
"1","Chorley","42","26","10","6","78","35","+43","88"
"2","Hyde United","42","25","10","7","91","52","+39","85"
"3","Caernarfon Town","42","22","10","10","56","34","+22","76"
"4","Morecambe","42","19","15","8","61","41","+20","72"
"5","Barrow","42","21","8","13","70","41","+29","71"
"6","Worksop Town","42","20","11","11","74","55","+19","71"
"7","Bangor City","42","20","10","12","72","55","+17","70"
"8","Rhyl","42","18","13","11","70","42","+28","67"
"9","Marine","42","19","10","13","67","45","+22","67"
"10","Frickley Athletic","42","18","11","13","61","55","+6","65"
"11","Witton Albion","42","16","12","14","61","47","+14","60"
"12","Goole Town","42","17","9","16","71","61","+10","60"
"13","Horwich RMI","42","17","9","16","46","42","+4","60"
"14","Southport","42","15","12","15","43","48","−5","57"
"15","South Liverpool","42","10","19","13","56","64","−8","49"
"16","Buxton","42","11","14","17","72","76","−4","47"
"17","Mossley","42","11","11","20","54","75","−21","44"
"18","Gateshead","42","11","7","24","52","71","−19","40"
"19","Matlock Town","42","10","8","24","58","89","−31","38"
"20","Gainsborough Trinity","42","8","10","24","38","81","−43","34"
"21","Oswestry Town","42","6","10","26","44","101","−57","28"
"22","Workington","42","6","3","33","28","113","−85","21"
