"Rank","Name","Nation","Placings","Total"
"1","Karol Kennedy","United States","15","96.07"
"2","Jennifer Nicks","United Kingdom","28.5","92.70"
"3","Marianne Nagy","Hungary","32","92.25"
"4","Elianne Steineman","Switzerland","44.5","90.00"
"5","Suzanne Gheldorf","Belgium","48.5","89.43"
"6","Elly Stärck","Austria","61","88.08"
"7","Marlene Smith","Canada","*63","87.07"
"8","Joan Waterhouse","United Kingdom","62","88.31"
"9","Liliane de Becker","Belgium","64","88.42"
"10","Irene Maguire","United States","82","84.26"
"11","Sybil Cooke","United Kingdom","93.5","83.47"
"12","Denise Favart","France","108","77.73"
