"Year","Division","League","Regular Season","Playoffs","Open Cup"
"1995","3","USISL Pro League","2nd, Northwest","Divisional Finals","Did not qualify"
"1996","3","USISL Pro League","6th, Western","Did not qualify","Did not qualify"
"1997","4","USISL PDSL","3rd, Northwest","Division Semifinals","Did not qualify"
"1998","4","USISL PDSL","4th, Northwest","Division Semifinals","Did not qualify"
"1999","4","USL PDL","6th, Northwest","Did not qualify","Did not qualify"
"2000","4","USL PDL","5th, Northwest","Did not qualify","Did not qualify"
"2001","4","USL PDL","4th, Northwest","Did not qualify","Did not qualify"
"2002","4","USL PDL","3rd, Northwest","Conference Finals","Did not qualify"
"2003","4","USL PDL","2nd, Northwest","Conference Semifinals","Did not qualify"
"2004","4","USL PDL","1st, Northwest","Conference Semifinals","Did not qualify"
"2005","4","USL PDL","1st, Northwest","Conference Finals","Qualifying Round"
"2006","4","USL PDL","6th, Northwest","Did not qualify","Did not qualify"
"2007","4","USL PDL","7th, Northwest","Did not qualify","Did not qualify"
"2008","4","USL PDL","7th, Northwest","Did not qualify","Did not qualify"
"2009","4","USL PDL","4th, Northwest","Did not qualify","Did not qualify"
