"#","Date","Visitor","Score","Home","Decision","Attendance","Record","Pts"
"24","December 1","Kansas City","0 – 10","Philadelphia","Parent","17,007","15–6–3","33"
"25","December 5","Chicago","2 – 3","Philadelphia","Parent","17,007","16–6–3","35"
"26","December 6","Philadelphia","3 – 3","Kansas City","Parent","8,971","16–6–4","36"
"27","December 8","NY Islanders","2 – 3","Philadelphia","Parent","17,007","17–6–4","38"
"28","December 12","Minnesota","0 – 6","Philadelphia","Parent","17,007","18–6–4","40"
"29","December 13","Philadelphia","3 – 2","Atlanta","Parent","15,141","19–6–4","42"
"30","December 15","St. Louis","2 – 7","Philadelphia","Parent","17,007","20–6–4","44"
"31","December 19","Toronto","1 – 5","Philadelphia","Parent","17,007","21–6–4","46"
"32","December 21","Philadelphia","2 – 2","Detroit","Stephenson","14,393","21–6–5","47"
"33","December 22","Pittsburgh","0 – 4","Philadelphia","Parent","17,007","22–6–5","49"
"34","December 26","Philadelphia","4 – 1","Washington","Parent","18,130","23–6–5","51"
"35","December 28","Philadelphia","1 – 2","Chicago","Parent","19,000","23–7–5","51"
"36","December 29","Philadelphia","5 – 2","Buffalo","Parent","15,863","24–7–5","53"
