"Game","Date","Opponent","Score","Location","Attendance","Record","Points"
"26","December 1","@ Montreal Canadiens","3–0","Bell Centre","21,273","7–12–7","21"
"27","December 3","@ Columbus Blue Jackets","6–3","Nationwide Arena","13,825","8–12–7","23"
"28","December 5","@ Boston Bruins","2–7","TD Garden","17,565","8–13–7","23"
"29","December 7","Atlanta Thrashers","5–2","Air Canada Centre","19,050","9–13–7","25"
"30","December 9","New York Islanders","3–2","Air Canada Centre","19,102","10–13–7","27"
"31","December 10","@ Boston Bruins","2–5","TD Garden","17,565","10–14–7","27"
"32","December 12","Washington Capitals","6–3","Air Canada Centre","19,316","11–14–7","29"
"33","December 14","Ottawa Senators","3–2","Air Canada Centre","19,315","12–14–7","31"
"34","December 16","Phoenix Coyotes","3–6","Air Canada Centre","19,088","12–15–7","31"
"35","December 18","@ Buffalo Sabres","2–5","HSBC Arena","18,159","12–16–7","31"
"36","December 19","Boston Bruins","2–0","Air Canada Centre","19,101","13–16–7","33"
"37","December 21","Buffalo Sabres","2–3 (OT)","Air Canada Centre","19,235","13–16–8","34"
"38","December 23","@ New York Islanders","1–3","Nassau Veterans Memorial Coliseum","10,865","13–17–8","34"
"39","December 26","Montreal Canadiens","2–3 (OT)","Air Canada Centre","19,250","13–17–9","35"
"40","December 27","@ Pittsburgh Penguins","4–3","Mellon Arena","17,132","14–17–9","37"
"41","December 30","@ Edmonton Oilers","1–3","Rexall Place","16,839","14–18–9","37"
