"#","Date","Visitor","Score","Home","Record","Pts"
"1","December 17","Montreal Canadiens","2–5","Toronto St. Pats","1–0–0","2"
"2","December 21","Toronto St. Pats","5–4","Ottawa Senators","2–0–0","4"
"3","December 24","Hamilton Tigers","4–2","Toronto St. Pats","2–1–0","4"
"4","December 28","Toronto St. Pats","4–3","Hamilton Tigers","3–1–0","6"
"5","December 31","Toronto St. Pats","3–5","Montreal Canadiens","3–2–0","6"
"6","January 4","Ottawa Senators","2–3","Toronto St. Pats","4–2–0","8"
"7","January 7","Hamilton Tigers","2–5","Toronto St. Pats","5–2–0","10"
"8","January 11","Toronto St. Pats","2–7","Ottawa Senators","5–3–0","10"
"9","January 14","Ottawa Senators","5–2","Toronto St. Pats","5–4–0","10"
"10","January 18","Toronto St. Pats","4–9","Hamilton Tigers","5–5–0","10"
"11","January 21","Toronto St. Pats","5–3","Montreal Canadiens","6–5–0","12"
"12","January 25","Montreal Canadiens","1–3","Toronto St. Pats","7–5–0","14"
"13","January 28","Ottawa Senators","2–1","Toronto St. Pats","7–6–0","14"
"14","February 1","Toronto St. Pats","5–4","Hamilton Tigers","8–6–0","16"
"15","February 4","Montreal Canadiens","1–3","Toronto St. Pats","9–6–0","18"
"16","February 8","Toronto St. Pats","4–6","Montreal Canadiens","9–7–0","18"
"17","February 11","Toronto St. Pats","4–4","Ottawa Senators","9–7–1","19"
"18","February 15","Hamilton Tigers","4–6","Toronto St. Pats","10–7–1","21"
"19","February 18","Toronto St. Pats","4–6","Montreal Canadiens","10–8–1","21"
"20","February 22","Toronto St. Pats","3–4","Hamilton Tigers","10–9–1","21"
"21","February 25","Ottawa Senators","5–7","Toronto St. Pats","11–9–1","23"
"22","March 1","Toronto St. Pats","3–2","Ottawa Senators","12–9–1","25"
"23","March 4","Hamilton Tigers","4–8","Toronto St. Pats","13–9–1","27"
"24","March 8","Montreal Canadiens","8–7","Toronto St. Pats","13–10–1","27"
