"Pos","Team","GP","W","D","L","Pts","GF","GA","GD"
"1","PSV","34","23","7","4","53","84","28","56"
"2","Ajax","34","22","9","3","53","75","21","54"
"3","FC Groningen","34","18","10","6","46","62","38","24"
"4","FC Utrecht","34","16","10","8","42","42","29","13"
"5","Vitesse","34","11","15","8","37","39","32","7"
"6","FC Twente","34","13","10","11","36","58","48","10"
"7","RKC","34","11","13","10","35","51","49","2"
"8","Feyenoord","34","8","16","10","32","39","40","-1"
"9","FC Volendam","34","10","12","12","32","37","45","-8"
"10","Roda JC","34","12","7","15","31","40","53","-13"
"11","Willem II","34","13","4","17","30","53","50","3"
"12","Fortuna Sittard","34","9","12","13","30","33","47","-14"
"13","Sparta","34","7","15","12","29","40","57","-17"
"14","FC Den Haag","34","10","8","16","28","40","60","-20"
"15","MVV_Maastricht","34","9","9","16","27","38","56","-18"
"16","SVV","34","8","8","18","24","31","52","-21"
"17","sc Heerenveen","34","9","6","19","24","41","63","-22"
"18","NEC","34","6","11","17","23","27","62","-35"
