"No","Peak","Country","Elevation (m)","Prominence (m)","Col (m)"
"1","Mount Kilimanjaro","Tanzania","5,895","5,885","10"
"2","Mount Kenya","Kenya","5,199","3,825","1374"
"3","Mount Meru","Tanzania","4,565","3,170","1395"
"4","Mount Elgon","Uganda","4,321","2,458","1863"
"5","Mulanje Massif","Malawi","3,002","2,319","683"
"6","Kimhandu","Tanzania","2,653","2,121","532"
"7","Mount Satima","Kenya","4,001","2,081","1920"
"8","Mount Hanang","Tanzania","3,420","2,050","1370"
"9","Loolmalassin","Tanzania","3,682","2,040","1642"
"10","Gelai Peak","Tanzania","2,948","1,930","1018"
"11","Mount Moroto","Uganda","3,083","1,818","1265"
"12","Kitumbeine Hill","Tanzania","2,858","1,770","1088"
"13","Chepunyal Hills","Kenya","3,334","1,759","1575"
"14","Mount Namuli","Mozambique","2,419","1,757","662"
"15","Shengena","Tanzania","2,464","1,750","714"
"16","Sungwi","Tanzania","2,300","1,730","570"
"17","Mount Kadam","Uganda","3,063","1,690","1373"
"18","Mtorwi","Tanzania","2,980","1,688","1292"
"19","Mount Kulal","Kenya","2,285","1,542","743"
"20","Karenga","Tanzania","2,279","1,529","750"
"21","Mount Ng'iro","Kenya","2,848","1,501","1347"
