"Pos","No","Driver","Team","Laps","Time/Retired","Grid","Points"
"1","7","Patrick Carpentier","Forsythe Racing","79","1:45:51.116","2","33"
"2","6","Bruno Junqueira","Newman/Haas Racing","79","+5.395 secs","8","27"
"3","11","Oriol Servià","Dale Coyne Racing","79","+20.459 secs","12","26"
"4","9","Michel Jourdain, Jr.","RuSPORT","79","+29.112 secs","5","24"
"5","4","Ryan Hunter-Reay","Herdez Competition","79","+29.715 secs","7","21"
"6","8","Alex Tagliani","Rocketsports Racing","79","+30.431 secs","6","20"
"7","5","Mario Haberfeld","Walker Racing","79","+32.311 secs","13","17"
"8","2","Sébastien Bourdais","Newman/Haas Racing","79","+34.467 secs","1","17"
"9","17","Guy Smith","Rocketsports Racing","79","+45.934 secs","14","13"
"10","1","Paul Tracy","Forsythe Racing","79","+49.222 secs","3","12"
"11","55","Mario Domínguez","Herdez Competition","78","+ 1 Lap","10","11"
"12","3","Rodolfo Lavín","Forsythe Racing","77","+ 2 Laps","11","9"
"13","19","Gastón Mazzacane","Dale Coyne Racing","75","+ 4 Laps","17","8"
"14","21","Roberto González","PKV Racing","52","Out of fuel","18","7"
"15","10","A. J. Allmendinger","RuSPORT","43","Contact","4","6"
"16","14","Nelson Philippe","Mi-Jack Conquest Racing","11","Contact","16","5"
"17","12","Jimmy Vasser","PKV Racing","10","Gearbox","9","4"
"18","34","Justin Wilson","Mi-Jack Conquest Racing","1","Contact","15","3"
