"#","Name","Date of Birth","Height","Weight","Spike","Block"
"1","Andrzej Stelmach","15.08.1972","200","98","330","220"
"3","Piotr Gruszka","08.03.1977","206","102","352","325"
"5","Paweł Zagumny","18.10.1977","200","88","336","317"
"6","Dawid Murek","24.07.1977","196","94","341","325"
"8","Krzysztof Ignaczak","15.05.1972","188","86","330","315"
"11","Łukasz Kadziewicz","20.09.1980","206","84","350","328"
"12","Radosław Rybak","25.03.1973","195","90","356","330"
"13","Sebastian Świderski","26.06.1977","193","88","354","325"
"14","Piotr Gabrych","05.07.1972","197","95","342","318"
"16","Arkadiusz Gołaś","10.05.1981","201","82","365","342"
"17","Michał Bąkiewicz","22.03.1981","196","79","338","324"
"18","Robert Szczerbaniuk","29.05.1977","199","89","350","327"
