"Name","Years","Matches","Goals","(%)","Clubs"
"Arsenio Erico","1934-47","332","293","88%","Independiente"
"Angel Labruna","1939-59","515","293","57%","River Plate"
"Herminio Masantonio","1931-45","358","256","72%","Huracán, Banfield"
"Manuel Pellegrina","1938-56","490","231","47%","Estudiantes, Huracán"
"Martín Palermo","1991–2000, 2004–2011","410","227","55%","Estudiantes de La Plata, Boca Juniors"
"José Francisco Sanfilippo","1953-63, 66-67, 72","330","226","68%","San Lorenzo, Boca Juniors"
"Ricardo Infante","1942-61","439","217","49%","Estudiantes, Huracán, Gimnasia La Plata"
"Oscar Más","1964-77, 79, 82, 85","429","215","50%","River Plate"
"Bernabé Ferreyra","1931-39","197","206","105%","Tigre, River Plate"
"Carlos Bianchi","1967-72, 1980–84","324","206","64%","Vélez Sársfield"
