"#","Date","Visitor","Score","Home","Record","Pts"
"1","October 9","Detroit Red Wings","4–1","Edmonton Oilers","0–1–0","0"
"2","October 11","Edmonton Oilers","9–2","Los Angeles Kings","1–1–0","2"
"3","October 14","Calgary Flames","5–4","Edmonton Oilers","1–2–0","2"
"4","October 16","Edmonton Oilers","5–2","Calgary Flames","2–2–0","4"
"5","October 17","Boston Bruins","3–4","Edmonton Oilers","3–2–0","6"
"6","October 21","Los Angeles Kings","2–6","Edmonton Oilers","4–2–0","8"
"7","October 23","Edmonton Oilers","5–4","Vancouver Canucks","5–2–0","10"
"8","October 24","Vancouver Canucks","5–9","Edmonton Oilers","6–2–0","12"
"9","October 27","Edmonton Oilers","0–5","Quebec Nordiques","6–3–0","12"
"10","October 28","Edmonton Oilers","1–3","Montreal Canadiens","6–4–0","12"
"11","October 31","Edmonton Oilers","5–6","New Jersey Devils","6–5–0","12"
"12","November 1","Edmonton Oilers","7–6","New York Rangers","7–5–0","14"
"13","November 4","New York Rangers","2–7","Edmonton Oilers","8–5–0","16"
"14","November 5","Edmonton Oilers","4–4","Calgary Flames","8–5–1","17"
"15","November 7","Buffalo Sabres","0–5","Edmonton Oilers","9–5–1","19"
"16","November 10","Edmonton Oilers","4–4","Los Angeles Kings","9–5–2","20"
"17","November 14","Edmonton Oilers","6–5","St. Louis Blues","10–5–2","22"
"18","November 15","Edmonton Oilers","4–5","Chicago Blackhawks","10–6–2","22"
"19","November 18","Quebec Nordiques","1–4","Edmonton Oilers","11–6–2","24"
"20","November 20","Pittsburgh Penguins","1–4","Edmonton Oilers","12–6–2","26"
"21","November 22","Edmonton Oilers","3–4","Winnipeg Jets","12–7–2","26"
"22","November 25","New Jersey Devils","8–7","Edmonton Oilers","12–8–2","26"
"23","November 27","Chicago Blackhawks","3–4","Edmonton Oilers","13–8–2","28"
"24","November 29","Edmonton Oilers","5–2","Buffalo Sabres","14–8–2","30"
"25","December 1","Edmonton Oilers","2–4","Washington Capitals","14–9–2","30"
"26","December 2","Edmonton Oilers","4–7","Detroit Red Wings","14–10–2","30"
"27","December 5","Toronto Maple Leafs","2–5","Edmonton Oilers","15–10–2","32"
"28","December 6","Minnesota North Stars","4–10","Edmonton Oilers","16–10–2","34"
"29","December 9","Winnipeg Jets","0–2","Edmonton Oilers","17–10–2","36"
"30","December 11","Vancouver Canucks","1–2","Edmonton Oilers","18–10–2","38"
"31","December 12","Edmonton Oilers","6–3","Vancouver Canucks","19–10–2","40"
"32","December 16","Edmonton Oilers","5–7","Los Angeles Kings","19–11–2","40"
"33","December 18","Winnipeg Jets","5–5","Edmonton Oilers","19–11–3","41"
"34","December 19","Hartford Whalers","4–3","Edmonton Oilers","19–12–3","41"
"35","December 22","Los Angeles Kings","2–5","Edmonton Oilers","20–12–3","43"
"36","December 26","Edmonton Oilers","5–4","Calgary Flames","21–12–3","45"
"37","December 28","Vancouver Canucks","3–7","Edmonton Oilers","22–12–3","47"
"38","December 30","Philadelphia Flyers","0–6","Edmonton Oilers","23–12–3","49"
"39","January 2","Edmonton Oilers","0–2","Washington Capitals","23–13–3","49"
"40","January 4","Edmonton Oilers","2–2","Boston Bruins","23–13–4","50"
"41","January 6","Edmonton Oilers","5–1","Hartford Whalers","24–13–4","52"
"42","January 8","Edmonton Oilers","4–4","Winnipeg Jets","24–13–5","53"
"43","January 9","New York Islanders","1–5","Edmonton Oilers","25–13–5","55"
"44","January 11","Washington Capitals","2–3","Edmonton Oilers","26–13–5","57"
"45","January 13","Calgary Flames","3–5","Edmonton Oilers","27–13–5","59"
"46","January 15","Winnipeg Jets","4–4","Edmonton Oilers","27–13–6","60"
"47","January 18","Edmonton Oilers","4–6","Montreal Canadiens","27–14–6","60"
"48","January 19","Edmonton Oilers","4–4","Quebec Nordiques","27–14–7","61"
"49","January 21","Edmonton Oilers","1–3","Philadelphia Flyers","27–15–7","61"
"50","January 23","Edmonton Oilers","2–3","New York Islanders","27–16–7","61"
"51","January 25","Edmonton Oilers","6–4","Pittsburgh Penguins","28–16–7","63"
"52","January 29","Calgary Flames","5–4","Edmonton Oilers","28–17–7","63"
"53","January 30","Hartford Whalers","2–5","Edmonton Oilers","29–17–7","65"
"54","February 3","New Jersey Devils","5–8","Edmonton Oilers","30–17–7","67"
"55","February 6","Edmonton Oilers","2–7","Los Angeles Kings","30–18–7","67"
"56","February 11","Edmonton Oilers","7–2","Vancouver Canucks","31–18–7","69"
"57","February 12","Boston Bruins","7–4","Edmonton Oilers","31–19–7","69"
"58","February 14","Vancouver Canucks","6–7","Edmonton Oilers","32–19–7","71"
"59","February 17","Toronto Maple Leafs","4–4","Edmonton Oilers","32–19–8","72"
"60","February 19","Pittsburgh Penguins","3–7","Edmonton Oilers","33–19–8","74"
"61","February 21","Edmonton Oilers","4–3","Winnipeg Jets","34–19–8","76"
"62","February 23","Edmonton Oilers","6–4","St. Louis Blues","35–19–8","78"
"63","February 24","Edmonton Oilers","4–6","Chicago Blackhawks","35–20–8","78"
"64","February 28","Calgary Flames","3–2","Edmonton Oilers","35–21–8","78"
"65","March 1","Los Angeles Kings","3–5","Edmonton Oilers","36–21–8","80"
"66","March 4","Philadelphia Flyers","4–7","Edmonton Oilers","37–21–8","82"
"67","March 5","Edmonton Oilers","4–7","Calgary Flames","37–22–8","82"
"68","March 7","Edmonton Oilers","6–0","Winnipeg Jets","38–22–8","84"
"69","March 9","Montreal Canadiens","4–1","Edmonton Oilers","38–23–8","84"
"70","March 12","Edmonton Oilers","4–4","Vancouver Canucks","38–23–9","85"
"71","March 15","Buffalo Sabres","4–6","Edmonton Oilers","39–23–9","87"
"72","March 18","Winnipeg Jets","1–4","Edmonton Oilers","40–23–9","89"
"73","March 20","Edmonton Oilers","5–5","Minnesota North Stars","40–23–10","90"
"74","March 22","Edmonton Oilers","6–4","Detroit Red Wings","41–23–10","92"
"75","March 24","Edmonton Oilers","1–6","New York Rangers","41–24–10","92"
"76","March 26","Edmonton Oilers","4–5","New York Islanders","41–25–10","92"
"77","March 28","Edmonton Oilers","6–4","Toronto Maple Leafs","42–25–10","94"
"78","March 30","Minnesota North Stars","3–6","Edmonton Oilers","43–25–10","96"
"79","April 1","St. Louis Blues","2–5","Edmonton Oilers","44–25–10","98"
"80","April 3","Los Angeles Kings","5–5","Edmonton Oilers","44–25–11","99"
