"Pos","No","Driver","Constructor","Time","Gap"
"1","8","Stefano Modena","Brabham","1:23.398","—"
"2","17","Nicola Larini","Osella","1:24.550","+1.152"
"3","36","Stefan Johansson","Onyx","1:24.764","+1.366"
"4","21","Alex Caffi","Dallara","1:24.778","+1.380"
"5","7","Martin Brundle","Brabham","1:25.275","+1.877"
"6","37","Bertrand Gachot","Onyx","1.25.952","+2.554"
"7","33","Gregor Foitek","Euro Brun","1:26.365","+2.967"
"8","18","Piercarlo Ghinzani","Osella","1:26.807","+3.409"
"9","34","Bernd Schneider","Zakspeed","1:27.073","+3.675"
"10","41","Joachim Winkelhock","AGS","1:28.545","+5.147"
"11","39","Volker Weidler","Rial","1:31.455","+8.057"
"12","35","Aguri Suzuki","Zakspeed","1:53.327","+29.929"
"13","32","Pierre-Henri Raphanel","Coloni","1:59.693","+36.295"
