"Dance","Highest Scoring couple","Highest score","Lowest Scoring couple","Lowest score"
"American Smooth","Pamela Stephenson","37","Ann Widdecombe","14"
"Argentine Tango","Kara Tointon","38","Tina O'Brien","28"
"Cha Cha Cha","Pamela Stephenson","32","Paul Daniels","16"
"Charleston","Pamela Stephenson","38","Peter Shilton","17"
"Foxtrot","Pamela Stephenson","33","Ann Widdecombe","20"
"Jive","Scott Maslen","39","Gavin Henson","22"
"Paso Doble","Kara Tointon","37","Ann Widdecombe","16"
"Quickstep","Pamela Stephenson","40","Ann Widdecombe","18"
"Rumba","Kara Tointon","39","Ann Widdecombe","14"
"Salsa","Kara Tointon","36","Ann Widdecombe","12"
"Samba","Matt Baker","38","Ann Widdecombe","13"
"Showdance","Pamela Stephenson","37","Matt Baker","34"
"Swing-a-thon","Kara Tointon","5","Gavin Henson","1"
"Tango","Kara Tointon","38","Ann Widdecombe","21"
"Viennese Waltz","Pamela Stephenson","40","Felicity Kendal","26"
"Waltz","Kara Tointon","38","Ann Widdecombe","17"
