"Position","Team","Played","Won","Drawn","Lost","Goals For","Goals Against","Goal Difference","Points 1"
"1","Mossley","44","32","5","7","117","48","+69","69"
"2","Altrincham","44","25","11","8","93","39","+54","61"
"3","Matlock Town","44","24","8","12","100","59","+41","56"
"4","Scarborough","44","19","14","11","61","44","+17","52"
"5","Southport","44","19","14","11","62","49","+13","52"
"6","Boston United","44","17","18","9","40","33","+7","52"
"7","Runcorn","44","21","9","14","79","54","+25","51"
"8","Stafford Rangers","44","18","14","12","67","41","+26","50"
"9","Goole Town","44","17","15","12","56","61","−5","49"
"10","Northwich Victoria","44","18","11","15","64","52","+12","47"
"11","Lancaster City","44","17","12","15","62","54","+8","46"
"12","Bangor City","44","15","14","15","65","66","−1","44"
"13","Worksop Town","44","13","14","17","55","67","−12","40"
"14","Workington","44","16","7","21","62","74","−12","39"
"15","Netherfield","44","13","11","20","39","69","−30","37"
"16","Barrow","44","14","9","21","47","78","−31","37"
"17","Gainsborough Trinity","44","12","12","20","52","67","−15","36"
"18","Morecambe","44","11","13","20","55","65","−10","35"
"19","Frickley Athletic","44","13","9","22","58","70","−12","35"
"20","South Liverpool","44","12","10","22","48","85","−37","34"
"21","Gateshead","44","11","11","22","42","63","−21","33"
"22","Buxton","44","11","9","24","50","84","−34","31"
"23","Macclesfield Town","44","8","10","26","40","92","−52","26"
