"Year","Car","Drivers","Races","Wins","Poles","F.L.","Points","D.C.","T.C."
"2005","Dallara","Neel Jani","23","2","1","0","48","7th","5th"
"2005","Dallara","Borja Garcia","22","0","0","0","17.5","14th","5th"
"2006","Dallara","Adam Carroll","21","0","0","0","33","8th","7th"
"2006","Dallara","Javier Villa","21","0","0","0","0","26th","7th"
"2007","Dallara","Javier Villa","21","3","0","0","42","5th","6th"
"2007","Dallara","Sérgio Jimenez","5","0","0","0","4","24th","6th"
"2007","Dallara","Ernesto Viso","3","0","0","0","0","29th","6th"
"2007","Dallara","Filipe Albuquerque","2","0","0","0","0","32nd","6th"
"2007","Dallara","Marcos Martinez Ucha","8","0","0","0","5","22nd","6th"
"2008","Dallara","Javier Villa","20","0","0","0","8","17th","4th"
"2008","Dallara","Giorgio Pantano","20","4","4","4","76","1st","4th"
"2009","Dallara","Lucas di Grassi","20","1","1","1","63","3rd","4th"
"2009","Dallara","Dani Clos","20","0","0","0","4","21st","4th"
"2010","Dallara","Dani Clos","20","1","1","1","51","4th","4th"
"2010","Dallara","Christian Vietoris","18","1","0","0","29","9th","4th"
"2010","Dallara","Ho-Pin Tung","2","0","0","0","0","28th","4th"
"2011","Dallara","Dani Clos","18","0","0","0","30","9th","3rd"
"2011","Dallara","Christian Vietoris","14","2","1","2","35","7th","3rd"
"2011","Dallara","Álvaro Parente","4","0","0","0","8","16th","3rd"
"2012","Dallara","Fabio Leimer","24","0","1","2","152","7th","4th"
"2012","Dallara","Nathanaël Berthon","24","0","0","0","60","12th","4th"
