"Pos","No","Driver","Constructor","Time","Gap"
"1","4","Ralf Schumacher","Williams","1:12.275","—"
"2","9","Jenson Button","BAR","1:12.341","+0.066"
"3","7","Jarno Trulli","Renault","1:13.023","+0.748"
"4","3","Juan Pablo Montoya","Williams","1:13.072","+0.797"
"5","8","Fernando Alonso","Renault","1:13.308","+1.033"
"6","1","Michael Schumacher","Ferrari","1:13.355","+1.080"
"7","2","Rubens Barrichello","Ferrari","1:13.562","+1.287"
"8","6","Kimi Räikkönen","McLaren","1:13.595","+1.320"
"9","5","David Coulthard","McLaren","1:13.681","+1.406"
"10","15","Christian Klien","Jaguar","1:14.532","+2.257"
"11","11","Giancarlo Fisichella","Sauber","1:14.674","+2.399"
"12","16","Cristiano da Matta","Toyota","1:14.851","+2.576"
"13","17","Olivier Panis","Toyota","1:14.891","+2.616"
"14","14","Mark Webber","Jaguar","1:15.148","+2.873"
"15","18","Nick Heidfeld","Jordan","1:15.321","+3.046"
"16","19","Timo Glock","Jordan","1:16.323","+4.048"
"17","10","Takuma Sato","BAR","1:17.004","+4.729"
"18","21","Zsolt Baumgartner","Minardi","1:17.064","+4.789"
"19","12","Felipe Massa","Sauber","no time","no time"
"20","20","Gianmaria Bruni","Minardi","no time","no time"
