"Pos","No","Driver","Team","Laps","Time/Retired","Grid","Points"
"1","8","Alex Tagliani","Rocketsports Racing","48","1:45:07.288","13","33"
"2","3","Rodolfo Lavín","Forsythe Racing","48","+1.855 secs","10","28"
"3","2","Sébastien Bourdais","Newman/Haas Racing","48","+2.767 secs","1","27"
"4","4","Ryan Hunter-Reay","Herdez Competition","48","+3.814 secs","2","24"
"5","55","Mario Domínguez","Herdez Competition","48","+4.398 secs","15","21"
"6","11","Oriol Servià","Dale Coyne Racing","48","+6.390 secs","8","19"
"7","34","Justin Wilson","Mi-Jack Conquest Racing","48","+8.500 secs","9","17"
"8","12","Jimmy Vasser","PKV Racing","48","+8.546 secs","3","15"
"9","9","Michel Jourdain, Jr.","RuSPORT","48","+9.056 secs","11","13"
"10","17","Guy Smith","Rocketsports Racing","48","+9.997 secs","16","11"
"11","5","Mario Haberfeld","Walker Racing","48","+16.725 secs","12","10"
"12","1","Paul Tracy","Forsythe Racing","48","+26.616 secs","6","10"
"13","10","A. J. Allmendinger","RuSPORT","47","+ 1 Lap","7","8"
"14","7","Patrick Carpentier","Forsythe Racing","46","+ 2 Laps","5","7"
"15","6","Bruno Junqueira","Newman/Haas Racing","46","+ 2 Laps","4","7"
"16","21","Roberto González","PKV Racing","46","+ 2 Laps","14","5"
"17","14","Alex Sperafico","Mi-Jack Conquest Racing","46","+ 2 Laps","17","4"
"18","19","Gastón Mazzacane","Dale Coyne Racing","29","Off course","18","3"
