"Player","Starts","Cuts made","Best finish","Money list rank","Earnings ($)"
"J. B. Holmes","26","16","Win","59","1,487,604"
"Alex Čejka","30","16","T3","145","525,484"
"Nicholas Thompson","32","15","T6","180","264,717"
"D. A. Points","28","12","T10","162","405,984"
"Tom Byrum","11","3","T16","215","101,094"
"Nick Watney","29","19","T5 (twice)","75","1,243,816"
"Daisuke Maruyama","29","14","T3","95","956,874"
"Michael Allen","25","17","T11","153","470,946"
"Hunter Mahan","29","21","T2","83","1,107,457"
"Will MacKenzie","29","16","Win","100","879,965"
"Robert Garrigus","28","15","T4","144","537,595"
"Marco Dawson","27","16","T5","142","545,076"
"John Engler","27","7","T39","222","72,964"
"Jeff Overton","28","19","T9","136","577,132"
"Henrik Bjørnstad","31","17","T10","152","491,043"
"Bubba Dickerson","32","18","T5","127","650,314"
"Ron Whittaker","28","13","T9","174","300,033"
"Ian Leggatt","29","10","T6","168","377,903"
"Ryan Hietala","23","7","T38","220","87,772"
"Brian Bateman","26","10","3","128","645,143"
"Matt Hansen","25","9","T18","194","187,252"
"Alex Aragon","26","6","T27","219","94,504"
"Greg Kraft","26","14","T19","179","273,734"
"Mike Sposa","25","10","T24","209","132,131"
"Bill Glasson","17","7","T22","210","127,932"
"Danny Ellis","23","11","T7","166","382,500"
"Michael Connell","22","4","T17","216","97,771"
"Brett Wetterich","25","16","Win","10","3,023,125"
"B. J. Staten","18","7","T5","182","253,088"
"Frank Lickliter","29","19","T2","44","1,655,678"
"Bill Haas","30","19","T4","99","887,024"
"Mathias Grönberg","30","16","4","124","674,002"
