"Pos","Team","GP","W","D","L","Pts","GF","GA","GD"
"1","Ajax","34","22","7","5","73","73","34","39"
"2","PSV","34","20","8","6","68","77","32","45"
"3","Feyenoord","34","19","7","8","64","68","29","39"
"4","sc Heerenveen","34","17","9","8","60","57","27","30"
"5","Vitesse","34","16","12","6","60","45","34","11"
"6","NAC","34","15","9","10","54","55","52","3"
"7","FC Utrecht","34","14","9","11","51","60","51","9"
"8","RKC Waalwijk","34","14","6","14","48","49","44","5"
"9","NEC","34","13","6","15","45","38","59","-21"
"10","AZ","34","12","7","15","43","43","45","-2"
"11","Willem II","34","10","13","11","43","54","61","-7"
"12","FC Twente","34","10","12","12","42","41","41","0"
"13","Roda JC","34","11","8","15","41","33","45","-12"
"14","De Graafschap","34","10","7","17","37","43","55","-12"
"15","FC Groningen","34","10","7","17","37","40","59","-19"
"16","FC Den Bosch","34","8","9","17","33","40","55","-15"
"17","Sparta","34","4","12","18","24","26","75","-49"
"18","Fortuna Sittard","34","3","8","23","17","27","71","-44"
