"[Call_sign|Call sign]","[Center_frequency|Frequency]","[City_of_license|City of license]","[Facility_ID|Facility ID]","[Effective_radiated_power|ERP]","[Height_above_average_terrain|Height]","[List_of_North_American_broadcast_station_classes|Class]","FCC info"
"KZTH","88.5","Piedmont, Oklahoma","83880","50,000","m (ft)","C1","FCC"
"KTHF","89.9","Hammon, Oklahoma","177198","26,500","m (ft)","C2","FCC"
"KXTH","89.1","Seminole, Oklahoma","85076","2,600","m (ft)","A","FCC"
"KTHL","89.3","Altus, Oklahoma","85076","1,500","m (ft)","A","FCC"
"K276EX","103.1","Oklahoma City, Oklahoma","145396","75","m (ft)","D","FCC"
"K261DP","100.1","Edmond, Oklahoma","83195","92","m (ft)","D","FCC"
"K253AY","98.5","Norman, Oklahoma","148125","25","m (ft)","D","FCC"
"K261DR","100.1","Wichita, Kansas","14455","250","m (ft)","D","FCC"
"K289AU","105.7","Bartlesville, Oklahoma","153233","250","m (ft)","D","FCC"
"K290BP","105.9","Stillwater, Oklahoma","51938","250","m (ft)","D","FCC"
