"Pos","No","Driver","Constructor","Lap","Gap"
"1","6","Juan Pablo Montoya","Williams","1:20.264","—"
"2","1","Michael Schumacher","Ferrari","1:20.521","+0.257"
"3","5","Ralf Schumacher","Williams","1:20.542","+0.278"
"4","2","Rubens Barrichello","Ferrari","1:20.705","+0.442"
"5","16","Eddie Irvine","Jaguar","1:21.606","+1.342"
"6","4","Kimi Räikkönen","McLaren","1:21.712","+1.448"
"7","3","David Coulthard","McLaren","1:21.803","+1.539"
"8","17","Pedro de la Rosa","Jaguar","1:21.960","+1.696"
"9","11","Jacques Villeneuve","BAR","1:22.126","+1.862"
"10","24","Mika Salo","Toyota","1:22.318","+2.054"
"11","14","Jarno Trulli","Renault","1:22.383","+2.119"
"12","9","Giancarlo Fisichella","Jordan","1:22.515","+2.251"
"13","25","Allan McNish","Toyota","1:22.521","+2.257"
"14","8","Felipe Massa","Sauber","1:22.565","+2.301"
"15","7","Nick Heidfeld","Sauber","1:22.601","+2.337"
"16","12","Olivier Panis","BAR","1:22.645","+2.381"
"17","15","Jenson Button","Renault","1:22.714","+2.450"
"18","10","Takuma Sato","Jordan","1:23.166","+2.902"
"19","23","Mark Webber","Minardi","1:23.794","+3.530"
"20","22","Alex Yoong","Minardi","1:25.111","+4.847"
