"Year","Division","League","Regular Season","Playoffs","Open Cup"
"1998","4","USISL PDSL","6th, Southeast","Did not qualify","Did not qualify"
"1999","4","USL PDL","3rd, Southeast","Did not qualify","Did not qualify"
"2000","4","USL PDL","4th, Southeast","Did not qualify","1st Round"
"2001","4","USL PDL","4th, Southeast","Did not qualify","Did not qualify"
"2002","4","USL PDL","3rd, Southeast","Did not qualify","Did not qualify"
"2003","4","USL PDL","2nd, Southeast","Conference Semifinals","Did not qualify"
"2004","4","USL PDL","1st, Southeast","PDL Champions","Did not qualify"
"2005","4","USL PDL","2nd, Southeast","Conference Semifinals","Did not qualify"
"2006","4","USL PDL","2nd, Southeast","Did not qualify","Did not qualify"
"2007","4","USL PDL","2nd, Southeast","Conference Semifinals","1st Round"
"2008","4","USL PDL","1st, Southeast","Conference Semifinals","Did not qualify"
"2009","4","USL PDL","6th, Southeast","Did not qualify","Did not qualify"
"2010","4","USL PDL","4th, Southeast","Did not qualify","1st Round"
"2011","4","USL PDL","2nd, Southeast","Conference Semifinals","1st Round"
"2012","4","USL PDL","2nd, Southeast","Semifinals","1st Round"
"2013","4","USL PDL","3rd, Southeast","Did not qualify","1st Round"
