"Rank","Name","Team","Goals"
"1","Florián Albert","Ferencváros","7"
"1","Eusébio","Benfica","7"
"3","John Connelly","Manchester United","6"
"3","Mustafa Hasanagić","Partizan","6"
"5","Amancio","Real Madrid","5"
"5","Georgi Asparuhov","Levski Sofia","5"
"5","David Herd","Manchester United","5"
"5","Ivan Mráz","Sparta Prague","5"
"5","Ferenc Puskás","Real Madrid","5"
"10","José Augusto","Benfica","4"
"10","George Best","Manchester United","4"
"10","Paul van Himst","Anderlecht","4"
"10","Andrej Kvašňák","Sparta Prague","4"
"10","Jacques Stockman","Anderlecht","4"
