"Pos","No","Driver","Constructor","Lap","Gap"
"1","3","Michael Schumacher","Ferrari","1:18.439","-"
"2","2","David Coulthard","McLaren","1:18.537","+0.098"
"3","4","Rubens Barrichello","Ferrari","1:18.801","+0.362"
"4","1","Mika Häkkinen","McLaren","1:18.985","+0.546"
"5","5","Heinz-Harald Frentzen","Jordan","1:19.483","+1.044"
"6","22","Jacques Villeneuve","BAR","1:19.544","+1.105"
"7","6","Jarno Trulli","Jordan","1:19.581","+1.142"
"8","23","Ricardo Zonta","BAR","1:19.742","+1.303"
"9","18","Pedro de la Rosa","Arrows","1:19.912","+1.473"
"10","11","Giancarlo Fisichella","Benetton","1:19.932","+1.493"
"11","8","Johnny Herbert","Jaguar","1:19.954","+1.515"
"12","9","Ralf Schumacher","Williams","1:20.073","+1.634"
"13","19","Jos Verstappen","Arrows","1:20.107","+1.668"
"14","12","Alexander Wurz","Benetton","1:20.113","+1.674"
"15","17","Mika Salo","Sauber","1:20.445","+2.006"
"16","7","Eddie Irvine","Jaguar","1:20.500","+2.061"
"17","14","Jean Alesi","Prost","1:20.512","+2.073"
"18","10","Jenson Button","Williams","1:20.534","+2.095"
"19","16","Pedro Diniz","Sauber","1:20.692","+2.253"
"20","20","Marc Gené","Minardi","1:21.058","+2.619"
"21","15","Nick Heidfeld","Prost","1:21.680","+3.241"
"22","21","Gastón Mazzacane","Minardi","1:22.091","+3.652"
