"Dance","Best dancer(s)","Best score","Worst dancer(s)","Worst score"
"Cha-cha-cha","Shawn Johnson","30","Steve Wozniak","13"
"Jive","Lil' Kim","30","Ty Murray","18"
"Rumba","Melissa Rycroft","27","Steve-O","16"
"Paso Doble","Gilles Marini","30","Lawrence Taylor","20"
"Samba","Melissa Rycroft","30","Steve Wozniak","10"
"Waltz","Gilles Marini","30","Belinda Carlisle","17"
"Quickstep","Melissa Rycroft","28","Steve Wozniak","17"
"Foxtrot","Gilles Marini","29","Steve-O","15"
"Argentine Tango","Gilles Marini Shawn Johnson","30","Steve Wozniak","12"
"Viennese Waltz","Gilles Marini Melissa Rycroft","27","Steve-O","18"
"Salsa","Gilles Marini","30","Steve-O","14"
"Lindy Hop","Melissa Rycroft","29","Steve-O","15"
"Freestyle","Shawn Johnson","30","Melissa Rycroft","27"
