"#","Date","Visitor","Score","Home","Decision","Attendance","Record","Pts"
"22","December 1","Philadelphia","4 – 4","Toronto","Myre","16,485","17–1–4","38"
"23","December 2","Detroit","4 – 4","Philadelphia","Peeters","17,077","17–1–5","39"
"24","December 4","Boston","2 – 2","Philadelphia","Myre","17,077","17–1–6","40"
"25","December 6","Los Angeles","4 – 9","Philadelphia","Peeters","17,077","18–1–6","42"
"26","December 9","Chicago","4 – 4","Philadelphia","Myre","17,077","18–1–7","43"
"27","December 13","Quebec","4 – 6","Philadelphia","Peeters","17,077","19–1–7","45"
"28","December 15","Buffalo","2 – 3","Philadelphia","Peeters","17,077","20–1–7","47"
"29","December 16","Philadelphia","1 – 1","NY Rangers","Myre","17,404","20–1–8","48"
"30","December 20","Pittsburgh","1 – 1","Philadelphia","Peeters","17,077","20–1–9","49"
"31","December 22","Philadelphia","5 – 2","Boston","Myre","14,673","21–1–9","51"
"32","December 23","Hartford","2 – 4","Philadelphia","Peeters","17,077","22–1–9","53"
"33","December 26","Philadelphia","4 – 4","Hartford","Myre","7,627","22–1–10","54"
"34","December 28","Philadelphia","5 – 3","Winnipeg","Peeters","16,038","23–1–10","56"
"35","December 29","Philadelphia","3 – 2","Colorado","Myre","16,452","24–1–10","58"
