"Season","Head coach","Captain","Place in Conf.","Record","PF","PA"
"1879 team","No coach","David DeTarr","na","1-0-1","1","0"
"1880 team","No coach","John Chase","na","1-0","13","6"
"1881 team","No coach","W. S. Horton","na","0-3","4","28"
"1882 team","No coach","W. J. Olcott","na","0-0","0","0"
"1883 team","No coach","W. J. Olcott","na","2-3","63","73"
"1884 team","No coach","H. Prettyman","na","2-0","36","10"
"1885 team","No coach","H. Prettyman","na","3-0","82","2"
"1886 team","No coach","H. Prettyman","na","2-0","74","0"
"1887 team","No coach","John Duffy","na","5-0","66","0"
"1888 team","No coach","James Duffy","na","2-1","130","46"
"1889 team","No coach","E. McPherran","na","1-2","33","80"
"1890 team","No coach","Wm. Malley","na","4-1","129","36"
"1891 team","Murphy","J. Van Inwagen","na","4-5","168","114"
"1892 team","Frank Barbour","George Dygert","na","7-5","298","170"
"1893 team","Frank Barbour","George Dygert","na","7-3","278","102"
"1894 team","William McCauley","James Baird","na","9-1-1","244","84"
"1895 team","William McCauley","F. Henninger","na","8-1","266","14"
"1896 team","William Ward","Henry Senter","2nd","9-1","262","11"
"1897 team","Gustave Ferbert","James R. Hogg","3rd","6-1-1","168","31"
"1898 team","Gustave Ferbert","John Bennett","1st","10-0","205","36"
"1899 team","Gustave Ferbert","Allen Steckle","4th","8-2","176","43"
"1900 team","Langdon Lea","Neil Snow","4th","7-2-1","117","55"
