"Team","Home city","Home ground","In Toppserien since","First appearance","Seasons"
"Amazon Grimstad","Grimstad","JJ Ugland Stadion","2006","2006","8"
"Arna-Bjørnar","Ytre Arna","Arna Idrettspark","2006","1997","16"
"Avaldsnes","Avaldsnes","Avaldsnes Idrettssenter","2013","2013","1"
"Klepp","Kleppe","Klepp Stadion","1987","1987","27"
"Kolbotn","Kolbotn","Sofiemyr","1995","1995","19"
"LSK Kvinner","Lillestrøm","LSK-Hallen","1987","1987","27"
"Medkila","Harstad","Harstad Stadion","2013","2004","3"
"Røa","Oslo","Røabanen","2001","2001","13"
"Sandviken","Bergen","Stemmemyren","2011","1987","21"
"Stabæk","Bærum","Nadderud Stadion","2009","2009","5"
"SK_Trondheims-Ørn","Trondheim","DnB Nor Arena","1987","1987","27"
"Vålerenga","Oslo","Vallhall Arena","2012","2012","2"
