"Pos","No","Driver","Constructor","Time","Gap"
"1","17","Nicola Larini","Osella","1:23.566","—"
"2","37","JJ Lehto","Onyx","1:23.958","+0.392"
"3","18","Piercarlo Ghinzani","Osella","1:24.586","+1.020"
"4","30","Philippe Alliot","Lola","1:24.610","+1.044"
"5","40","Gabriele Tarquini","AGS","1:24.847","+1.281"
"6","36","Stefan Johansson","Onyx","1:24.944","+1.378"
"7","31","Roberto Moreno","Coloni","1:25.074","+1.508"
"8","29","Michele Alboreto","Lola","1:25.646","+2.080"
"9","34","Bernd Schneider","Zakspeed","1:25.673","+2.107"
"10","41","Yannick Dalmas","AGS","1:26.131","+2.565"
"11","35","Aguri Suzuki","Zakspeed","1:26.609","+3.043"
"12","33","Oscar Larrauri","EuroBrun","1:26.803","+3.237"
"13","32","Enrico Bertaggia","Coloni","1:27.236","+3.670"
