"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Luís Figo","Right Winger","27","FC Barcelona","LaLiga","Real Madrid","LaLiga","2000-2001","","60000000"
"Hernán Crespo","Centre-Forward","25","Parma","Serie A","Lazio","Serie A","2000-2001","","56810000"
"Marc Overmars","Left Winger","27","Arsenal","Premier League","FC Barcelona","LaLiga","2000-2001","","40000000"
"Gabriel Batistuta","Centre-Forward","31","Fiorentina","Serie A","AS Roma","Serie A","2000-2001","","36150000"
"Nicolas Anelka","Centre-Forward","21","Real Madrid","LaLiga","Paris SG","Ligue 1","2000-2001","","34500000"
"Rio Ferdinand","Centre-Back","22","West Ham","Premier League","Leeds","Premier League","2000-2001","","26000000"
"Flávio Conceicao","Central Midfield","26","Dep. La Coruña","LaLiga","Real Madrid","LaLiga","2000-2001","","25000000"
"Savo Milosevic","Centre-Forward","26","Real Zaragoza","LaLiga","Parma","Serie A","2000-2001","","25000000"
"David Trezeguet","Centre-Forward","22","Monaco","Ligue 1","Juventus","Serie A","2000-2001","","23240000"
"Claudio López","Centre-Forward","25","Valencia CF","LaLiga","Lazio","Serie A","2000-2001","","23000000"
"Jimmy Floyd Hasselbaink","Centre-Forward","28","Atletico Madrid","LaLiga2","Chelsea","Premier League","2000-2001","","22500000"
"Gerard López","Central Midfield","21","Valencia CF","LaLiga","FC Barcelona","LaLiga","2000-2001","","21600000"
"Lucas","Centre-Forward","21","Atletico-PR","Brazil","Stade Rennais","Ligue 1","2000-2001","","21300000"
"Pablo Aimar","Attacking Midfield","21","River Plate","Argentina","Valencia CF","LaLiga","2000-2001","","21250000"
"Wálter Samuel","Centre-Back","22","Boca Juniors","Argentina","AS Roma","Serie A","2000-2001","","20800000"
"Shabani Nonda","Centre-Forward","23","Stade Rennais","Ligue 1","Monaco","Ligue 1","2000-2001","","20000000"
"Robbie Keane","Centre-Forward","19","Coventry City","Premier League","Inter","Serie A","2000-2001","","19500000"
"Jose Mari","Centre-Forward","21","Atletico Madrid","LaLiga2","AC Milan","Serie A","2000-2001","","19000000"
"Jonathan Zebina","Centre-Back","21","Cagliari Calcio","Serie B","AS Roma","Serie A","2000-2001","","18400000"
"Émerson","Defensive Midfield","24","Bay. Leverkusen","1.Bundesliga","AS Roma","Serie A","2000-2001","","18000000"
"Tore Andre Flo","Centre-Forward","27","Chelsea","Premier League","Rangers","Scotland","2000-2001","","18000000"
"Sergiy Rebrov","Second Striker","26","Dynamo Kyiv","Premier Liga","Spurs","Premier League","2000-2001","","18000000"
"Angelo Peruzzi","Goalkeeper","30","Inter","Serie A","Lazio","Serie A","2000-2001","","17900000"
"Diego Tristán","Centre-Forward","24","RCD Mallorca","LaLiga","Dep. La Coruña","LaLiga","2000-2001","","17750000"
"Sylvain Wiltord","Second Striker","26","G. Bordeaux","Ligue 1","Arsenal","Premier League","2000-2001","","17500000"
"Fernando Redondo","Defensive Midfield","31","Real Madrid","LaLiga","AC Milan","Serie A","2000-2001","","17500000"
"Jardel","Centre-Forward","26","FC Porto","Liga NOS","Galatasaray","Süper Lig","2000-2001","","17050000"
"Nuno Gomes","Centre-Forward","24","Benfica","Liga NOS","Fiorentina","Serie A","2000-2001","","17000000"
"Sergio Conceição","Right Winger","25","Lazio","Serie A","Parma","Serie A","2000-2001","","17000000"
"Alfonso","Centre-Forward","27","Real Betis","LaLiga2","FC Barcelona","LaLiga","2000-2001","","16500000"
"Francisco Farinós","Defensive Midfield","22","Valencia CF","LaLiga","Inter","Serie A","2000-2001","","16250000"
"Kakhaber Kaladze","Centre-Back","22","Dynamo Kyiv","Premier Liga","AC Milan","Serie A","2000-2001","","16000000"
"Francis Jeffers","Centre-Forward","20","Everton","Premier League","Arsenal","Premier League","2000-2001","","15300000"
"Emmanuel Petit","Defensive Midfield","29","Arsenal","Premier League","FC Barcelona","LaLiga","2000-2001","","15000000"
"Tomás Rosicky","Attacking Midfield","20","Sparta Praha","Czech Republic","Bor. Dortmund","1.Bundesliga","2000-2001","","14500000"
"Catanha","Centre-Forward","28","Málaga CF","LaLiga","Celta de Vigo","LaLiga","2000-2001","","14420000"
"Juan Pablo Ángel","Centre-Forward","25","River Plate","Argentina","Aston Villa","Premier League","2000-2001","","14400000"
