"","State Code","County Code","Site Num","Address","State","County","City","Date Local","NO2 Units","NO2 Mean","NO2 1st Max Value","NO2 1st Max Hour","NO2 AQI","O3 Units","O3 Mean","O3 1st Max Value","O3 1st Max Hour","O3 AQI","SO2 Units","SO2 Mean","SO2 1st Max Value","SO2 1st Max Hour","SO2 AQI","CO Units","CO Mean","CO 1st Max Value","CO 1st Max Hour","CO AQI"
"0","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-01T00:00:00","Parts per billion","19.041667","49.0","19","46","Parts per million","0.0225","0.04","10","34","Parts per billion","3.0","9.0","21","13.0","Parts per million","1.145833","4.2","21",""
"1","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-01T00:00:00","Parts per billion","19.041667","49.0","19","46","Parts per million","0.0225","0.04","10","34","Parts per billion","3.0","9.0","21","13.0","Parts per million","0.878947","2.2","23","25.0"
"2","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-01T00:00:00","Parts per billion","19.041667","49.0","19","46","Parts per million","0.0225","0.04","10","34","Parts per billion","2.975","6.6","23","","Parts per million","1.145833","4.2","21",""
"3","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-01T00:00:00","Parts per billion","19.041667","49.0","19","46","Parts per million","0.0225","0.04","10","34","Parts per billion","2.975","6.6","23","","Parts per million","0.878947","2.2","23","25.0"
"4","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-02T00:00:00","Parts per billion","22.958333","36.0","19","34","Parts per million","0.013375","0.032","10","27","Parts per billion","1.958333","3.0","22","4.0","Parts per million","0.85","1.6","23",""
"5","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-02T00:00:00","Parts per billion","22.958333","36.0","19","34","Parts per million","0.013375","0.032","10","27","Parts per billion","1.958333","3.0","22","4.0","Parts per million","1.066667","2.3","0","26.0"
"6","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-02T00:00:00","Parts per billion","22.958333","36.0","19","34","Parts per million","0.013375","0.032","10","27","Parts per billion","1.9375","2.6","23","","Parts per million","0.85","1.6","23",""
"7","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-02T00:00:00","Parts per billion","22.958333","36.0","19","34","Parts per million","0.013375","0.032","10","27","Parts per billion","1.9375","2.6","23","","Parts per million","1.066667","2.3","0","26.0"
"8","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-03T00:00:00","Parts per billion","38.125","51.0","8","48","Parts per million","0.007958","0.016","9","14","Parts per billion","5.25","11.0","19","16.0","Parts per million","1.929167","4.4","8",""
"9","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-03T00:00:00","Parts per billion","38.125","51.0","8","48","Parts per million","0.007958","0.016","9","14","Parts per billion","5.25","11.0","19","16.0","Parts per million","1.7625","2.5","8","28.0"
"10","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-03T00:00:00","Parts per billion","38.125","51.0","8","48","Parts per million","0.007958","0.016","9","14","Parts per billion","5.2","8.3","20","","Parts per million","1.929167","4.4","8",""
"11","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-03T00:00:00","Parts per billion","38.125","51.0","8","48","Parts per million","0.007958","0.016","9","14","Parts per billion","5.2","8.3","20","","Parts per million","1.7625","2.5","8","28.0"
"12","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-04T00:00:00","Parts per billion","40.26087","74.0","8","72","Parts per million","0.014167","0.033","9","28","Parts per billion","7.083333","16.0","8","23.0","Parts per million","1.991667","5.1","21",""
"13","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-04T00:00:00","Parts per billion","40.26087","74.0","8","72","Parts per million","0.014167","0.033","9","28","Parts per billion","7.083333","16.0","8","23.0","Parts per million","1.829167","3.0","23","34.0"
"14","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-04T00:00:00","Parts per billion","40.26087","74.0","8","72","Parts per million","0.014167","0.033","9","28","Parts per billion","7.05","12.6","8","","Parts per million","1.991667","5.1","21",""
"15","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-04T00:00:00","Parts per billion","40.26087","74.0","8","72","Parts per million","0.014167","0.033","9","28","Parts per billion","7.05","12.6","8","","Parts per million","1.829167","3.0","23","34.0"
"16","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-05T00:00:00","Parts per billion","48.45","61.0","22","58","Parts per million","0.006667","0.012","9","10","Parts per billion","8.708333","15.0","7","21.0","Parts per million","2.620833","5.6","7",""
"17","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-05T00:00:00","Parts per billion","48.45","61.0","22","58","Parts per million","0.006667","0.012","9","10","Parts per billion","8.708333","15.0","7","21.0","Parts per million","2.7","3.7","2","42.0"
"18","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-05T00:00:00","Parts per billion","48.45","61.0","22","58","Parts per million","0.006667","0.012","9","10","Parts per billion","8.7","14.0","8","","Parts per million","2.620833","5.6","7",""
"19","4","13","3002","1645 E ROOSEVELT ST-CENTRAL PHOENIX STN","Arizona","Maricopa","Phoenix","2000-01-05T00:00:00","Parts per billion","48.45","61.0","22","58","Parts per million","0.006667","0.012","9","10","Parts per billion","8.7","14.0","8","","Parts per million","2.7","3.7","2","42.0"
