"","BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AT PRESENT (coulomb)","BLOCK","LOT","EASE-MENT","BUILDING CLASS AT PRESENT","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE"
"4","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","392","6","","C2","153 AVENUE B","","10009","5","0","5","1633","6440","1900","2","C2","6625000","2017-07-19T00:00:00"
"5","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","399","26","","C7","234 EAST 4TH   STREET","","10009","28","3","31","4616","18690","1900","2","C7","","2016-12-14T00:00:00"
"6","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","399","39","","C7","197 EAST 3RD   STREET","","10009","16","1","17","2212","7803","1900","2","C7","","2016-12-09T00:00:00"
"7","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","402","21","","C4","154 EAST 7TH STREET","","10009","10","0","10","2272","6794","1913","2","C4","3936272","2016-09-23T00:00:00"
"8","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","404","55","","C2","301 EAST 10TH   STREET","","10009","6","0","6","2369","4615","1900","2","C2","8000000","2016-11-17T00:00:00"
"9","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","405","16","","C4","516 EAST 12TH   STREET","","10009","20","0","20","2581","9730","1900","2","C4","","2017-07-20T00:00:00"
"10","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","406","32","","C4","210 AVENUE B","","10009","8","0","8","1750","4226","1920","2","C4","3192840","2016-09-23T00:00:00"
"11","1","ALPHABET CITY","07 RENTALS - WALKUP APARTMENTS","2","407","18","","C7","520 EAST 14TH   STREET","","10009","44","2","46","5163","21007","1900","2","C7","","2017-07-20T00:00:00"
"12","1","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2","379","34","","D5","141 AVENUE D","","10009","15","0","15","1534","9198","1920","2","D5","","2017-06-20T00:00:00"
"13","1","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2","387","153","","D9","629 EAST 5TH STREET","","10009","24","0","24","4489","18523","1920","2","D9","16232000","2016-11-07T00:00:00"
"14","1","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2","394","44","","D7","181 AVENUE C","","10009","30","4","34","4295","21328","1910","2","D7","","2017-07-20T00:00:00"
"15","1","ALPHABET CITY","08 RENTALS - ELEVATOR APARTMENTS","2","400","21","","D1","530-532 EAST 5TH STREET","","10009","10","0","10","3717","12350","2009","2","D1","10350000","2016-10-17T00:00:00"
"16","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","373","40","","C6","327 EAST 3 STREET, 1C","","10009","0","0","0","","","1920","2","C6","1","2016-09-06T00:00:00"
"17","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","373","40","","C6","327 EAST 3 STREET, 1C","","10009","0","0","0","","","1920","2","C6","499000","2017-03-10T00:00:00"
"18","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","373","40","","C6","327 EAST 3 STREET, 3A","","10009","0","0","0","","","1920","2","C6","10","2017-04-28T00:00:00"
"19","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","373","40","","C6","327 EAST 3RD STREET, 5A","","10009","0","0","0","","","1920","2","C6","529500","2017-06-09T00:00:00"
"20","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","373","40","","C6","327 EAST 3 STREET, 2E","","10009","0","0","0","","","1920","2","C6","423000","2017-07-14T00:00:00"
"21","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","373","46","","C6","317 EAST 3RD STREET, 12","","10009","0","0","0","","","1925","2","C6","501000","2017-03-16T00:00:00"
"22","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","373","49","","C6","311 EAST 3RD STREET, 17","","10009","0","0","0","","","1920","2","C6","450000","2016-09-01T00:00:00"
"23","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","373","49","","C6","311 EAST 3RD, 22","","10009","0","0","0","","","1920","2","C6","510000","2017-08-17T00:00:00"
"24","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","374","8","","C6","702 EAST 5TH STREET, 5E","","10009","0","0","0","","","1900","2","C6","","2016-09-07T00:00:00"
"25","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","375","30","","C6","742 EAST 6TH STREET, 1","","10009","0","0","0","","","1902","2","C6","350000","2017-08-30T00:00:00"
"26","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","376","14","","C6","244 EAST 7TH STREET","","10009","24","0","24","4131","16776","1928","2","C6","11900000","2017-06-21T00:00:00"
"27","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","376","14","","C6","244 EAST 7TH STREET","","10009","0","0","0","","","1928","2","C6","11900000","2017-06-21T00:00:00"
"28","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","376","16","","C6","248 EAST 7TH STREET, 24","","10009","0","0","0","","","1928","2","C6","350000","2017-01-30T00:00:00"
"29","1","ALPHABET CITY","09 COOPS - WALKUP APARTMENTS","2","376","16","","C6","248 EAST 7TH STREET, 2","","10009","0","0","0","","","1928","2","C6","404000","2017-07-07T00:00:00"
