"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
"0","26-100","1","","Not eligible for coverage / N/A","","No","No","I don't know","Very easy","No","No","Maybe","Yes","I don't know","No","","","","","","","","","1","No, none did","","I don't know","None did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them","Maybe","","Maybe","Maybe","No, I don't think they would","Somewhat open","No","","No","Yes","No","","","Yes","Anxiety Disorder","0","Not applicable to me","Not applicable to me","39","Male","United Kingdom","","United Kingdom","","Back-end Developer","Sometimes"
"0","6-25","1","","No","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Maybe","Yes","Yes","No","","","","","","","","","1","Yes, they all did","I was aware of some","None did","Some did","Yes, always","None of them","None of them","No, at none of my previous employers","Some of my previous employers","Some did","None of them","Maybe","While mental health has become a more prominent issue recently, I feel like there is still a lot of stigma surrounding it. At this point, with our culture, I would not bring it up. I hope that within the next 20-30 years that stigma will be gone and it can be brought up safely in an interview.","No","No, I don't think it would","No, I don't think they would","Somewhat open","No","","Yes","Yes","Yes","Anxiety Disorder |Mood Disorder","","Yes","Anxiety Disorder |Mood Disorder","1","Rarely","Sometimes","29","male","United States of America","Illinois","United States of America","Illinois","Back-end Developer|Front-end Developer","Never"
"0","6-25","1","","No","","No","No","I don't know","Neither easy nor difficult","Maybe","No","Maybe","Maybe","I don't know","No","","","","","","","","","1","No, none did","","None did","Some did","I don't know","I don't know","Some of them","Some of my previous employers","I don't know","I don't know","Some of them","Yes","Stigma, mainly.","Yes","Maybe","Maybe","Somewhat open","Maybe/Not sure","Yes","No","Maybe","No","","","No","","1","Not applicable to me","Not applicable to me","38","Male","United Kingdom","","United Kingdom","","Back-end Developer","Always"
"1","","","","","","","","","","","","","","","","1","Yes, I know several","Sometimes, if it comes up","I'm not sure","Sometimes, if it comes up","I'm not sure","Yes","-24","1","Some did","","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","Some of them","Yes","would not if I was not 100% sure that the disclosure would not affect my application","Maybe","Yes, I think it would","Maybe","Neutral","No","","No","Yes","Yes","Anxiety Disorder |Mood Disorder","","Yes","Anxiety Disorder |Mood Disorder","1","Sometimes","Sometimes","43","male","United Kingdom","","United Kingdom","","Supervisor/Team Lead","Sometimes"
"0","6-25","0","1","Yes","Yes","No","No","No","Neither easy nor difficult","Yes","Maybe","Maybe","No","No","No","","","","","","","","","1","I don't know","","Some did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","Some did","Some of them","Maybe","I don't know","No","Yes, I think it would","Maybe","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Yes","Anxiety Disorder |Stress Response Syndromes","","Yes","Anxiety Disorder","1","Sometimes","Sometimes","43","Female","United States of America","Illinois","United States of America","Illinois","Executive Leadership|Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer","Sometimes"
"0","More than 1000","1","","Yes","I am not sure","No","Yes","Yes","Somewhat easy","Yes","Yes","Maybe","Yes","No","Yes","","","","","","","","","1","No, none did","Yes, I was aware of all of them","None did","None did","I don't know","Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them","Yes","It would depend on the field & what I knew of the employer.","Maybe","Yes, I think it would","Maybe","Somewhat open","Yes, I experienced","No","No","No","Yes","Anxiety Disorder |Stress Response Syndromes|Substance Use Disorder","","No","","1","Not applicable to me","Often","42","Male","United Kingdom","","United Kingdom","","DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer|Designer","Sometimes"
"0","26-100","1","","I don't know","No","No","No","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","","","","","","","","","1","Some did","I was aware of some","None did","Some did","I don't know","None of them","None of them","Some of my previous employers","Yes, at all of my previous employers","Some did","None of them","Yes","I want to gauge their ability to support, understand and empathize with my situation.","Yes","Yes, I think it would","No, I don't think they would","Not applicable to me","No","","No","No","No","","","No","","0","Not applicable to me","Not applicable to me","30","M","United States of America","Tennessee","United States of America","Tennessee","Back-end Developer","Sometimes"
"0","More than 1000","1","","Yes","Yes","No","Yes","Yes","Very easy","No","No","Maybe","Yes","I don't know","No","","","","","","","","","1","Some did","I was aware of some","Some did","Some did","Sometimes","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them","No","Same reason.","No","Maybe","Maybe","Somewhat open","Yes, I observed","Maybe","Yes","Yes","Yes","Anxiety Disorder |Substance Use Disorder","","Yes","Anxiety Disorder |Substance Use Disorder","1","Sometimes","Often","37","female","United States of America","Virginia","United States of America","Virginia","Dev Evangelist/Advocate|Back-end Developer","Always"
"0","26-100","0","1","I don't know","No","No","No","I don't know","Very difficult","Yes","Yes","Yes","Maybe","No","No","","","","","","","","","1","I don't know","","Some did","None did","I don't know","Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them","Maybe","Only if I felt I required accommodation. Even then, reluctantly because it makes me a less attractive candidate.","Maybe","Maybe","Yes, they do","Somewhat open","Yes, I observed","No","Yes","Yes","Yes","Mood Disorder","","Yes","Mood Disorder","1","Rarely","Often","44","Female","United States of America","California","United States of America","California","Support|Back-end Developer|One-person shop","Sometimes"
"1","","","","","","","","","","","","","","","","1","I know some","No, because it doesn't matter","","Sometimes, if it comes up","No","Yes","-24","1","Some did","I was aware of some","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","None of them","Yes","It really depends on the person, the employer, and how comfortable I felt discussing the issue.","Maybe","Maybe","No, I don't think they would","Very open","No","","Yes","Yes","Yes","Anxiety Disorder |Mood Disorder","","Yes","Anxiety Disorder |Mood Disorder","1","Rarely","Often","30","Male","United States of America","Kentucky","United States of America","Kentucky","One-person shop|Front-end Developer|Back-end Developer","Always"
"0","26-100","1","","Yes","I am not sure","Yes","Yes","Yes","Very easy","No","No","Maybe","Yes","Yes","No","","","","","","","","","1","No, none did","","None did","None did","No","Some of them","Some of them","No, at none of my previous employers","Some of my previous employers","None did","Some of them","Yes","Same reason as above.","Yes","No, I don't think it would","Maybe","Very open","Yes, I observed","Maybe","I don't know","Yes","Yes","Mood Disorder","","Yes","Mood Disorder","1","Sometimes","Often","28","Male","United States of America","Oregon","United States of America","Oregon","Front-end Developer","Never"
"0","100-500","0","1","Yes","Yes","No","I don't know","I don't know","Somewhat difficult","Yes","No","No","No","No","No","","","","","","","","","1","No, none did","","None did","None did","I don't know","Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them","No","It isn't relevant to my ability as a programmer.","No","Yes, I think it would","Yes, I think they would","Not open at all","No","","Yes","Yes","Yes","Anxiety Disorder","","Yes","Anxiety Disorder","1","Never","Rarely","34","Male","United States of America","Pennsylvania","United States of America","Pennsylvania","Executive Leadership","Sometimes"
"0","100-500","1","","Yes","I am not sure","No","No","Yes","Very easy","No","No","Yes","Yes","Yes","No","","","","","","","","","1","Some did","Yes, I was aware of all of them","Some did","Some did","Yes, always","None of them","None of them","Yes, at all of my previous employers","Some of my previous employers","Yes, they all did","None of them","No","Also seems highly likely to be irrelevant at the point that I am in an interview.","No","No, it has not","No, they do not","Somewhat open","No","","Yes","Yes","Yes","Mood Disorder","","Yes","Mood Disorder","1","Rarely","Sometimes","30","Female","United States of America","New Jersey","United States of America","New Jersey","Supervisor/Team Lead|Dev Evangelist/Advocate|Back-end Developer|Front-end Developer","Always"
"0","100-500","0","1","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","No","Maybe","Yes","No","","","","","","","","","1","I don't know","","None did","None did","I don't know","Yes, all of them","Yes, all of them","Some of my previous employers","Some of my previous employers","None did","Some of them","Yes","Too private.","No","Maybe","Yes, I think they would","Not open at all","Yes, I experienced","Maybe","No","Maybe","Maybe","","Substance Use Disorder|Addictive Disorder","No","","0","Not applicable to me","Sometimes","44","Male","Canada","","Canada","","DevOps/SysAdmin|Back-end Developer|Front-end Developer","Sometimes"
"0","100-500","1","","Yes","Yes","No","I don't know","Yes","Very easy","No","No","Yes","Yes","No","No","","","","","","","","","1","I don't know","No, I only became aware later","None did","None did","I don't know","I don't know","None of them","No, at none of my previous employers","I don't know","I don't know","None of them","No","Because Of the potential for discrimination","No","No, it has not","No, they do not","Somewhat open","No","","Yes","Yes","Yes","Anxiety Disorder |Obsessive-Compulsive Disorder","","Yes","Anxiety Disorder |Obsessive-Compulsive Disorder","1","Sometimes","Sometimes","35","Male","United States of America","Georgia","United States of America","Georgia","Designer","Always"
"0","100-500","1","","I don't know","No","No","I don't know","I don't know","Neither easy nor difficult","Maybe","Maybe","Maybe","Maybe","I don't know","No","","","","","","","","","1","Some did","I was aware of some","Some did","Some did","Sometimes","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them","Maybe","I don't think it's appropriate to discuss those issues during early interviews. I'd wait to discuss with HR after I have a feel for what's going on.","Maybe","Maybe","Maybe","Neutral","No","","Yes","Yes","Yes","Mood Disorder","","Yes","Mood Disorder","1","Rarely","Sometimes","52","m","United States of America","Oregon","United States of America","Oregon","Other|Executive Leadership","Sometimes"
"0","26-100","1","","Not eligible for coverage / N/A","No","No","No","I don't know","Very difficult","Maybe","No","Maybe","Maybe","No","No","","","","","","","","","1","No, none did","No, I only became aware later","None did","None did","No","Yes, all of them","None of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them","Yes","I have found their reaction to be a good indicator of whether our ideals are aligned / whether it's a good fit for me as a workplace.","No","Yes, it has","No, I don't think they would","Very open","Yes, I experienced","Yes","Yes","Yes","Yes","Anxiety Disorder |Mood Disorder |Eating Disorder |Obsessive-Compulsive Disorder","","Yes","Anxiety Disorder |Mood Disorder","1","Sometimes","Often","32","I identify as female.","Canada","","Canada","","Front-end Developer","Always"
"0","500-1000","1","","No","No","No","No","I don't know","I don't know","Maybe","No","Yes","Maybe","No","No","","","","","","","","","1","No, none did","Yes, I was aware of all of them","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","None of them","No","","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","Maybe","No","No","No","","","No","","0","Not applicable to me","Not applicable to me","34","Male","United Kingdom","","United Kingdom","","Back-end Developer","Never"
"1","","","","","","","","","","","","","","","","1","I know some","No, because it would impact me negatively","Yes","No, because it would impact me negatively","Yes","Yes","-24","0","","","","","","","","","","","","No","bad idea","No","Yes, it has","Yes, they do","Somewhat not open","Yes, I observed","Yes","I don't know","Yes","Yes","Personality Disorder |Attention Deficit Hyperactivity Disorder","","Yes","Personality Disorder |Attention Deficit Hyperactivity Disorder","1","Often","Often","25","female","United States of America","Washington","United States of America","Washington","One-person shop","Always"
"0","100-500","0","1","I don't know","No","No","No","I don't know","I don't know","Yes","No","No","No","Yes","No","","","","","","","","","1","I don't know","","None did","Some did","I don't know","Yes, all of them","None of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them","Yes","Stigmatized. Uncomfortable for both parties. Mental instability frowned upon in technical roles.","No","Yes, I think it would","Yes, I think they would","Somewhat not open","No","","Yes","Yes","Yes","Anxiety Disorder |Mood Disorder","","Yes","Anxiety Disorder |Mood Disorder","1","Rarely","Sometimes","31","M","United States of America","New Jersey","United States of America","New York","Back-end Developer|Front-end Developer","Sometimes"
"0","6-25","1","","No","","No","No","I don't know","Very easy","No","No","Maybe","Yes","I don't know","No","","","","","","","","","1","Yes, they all did","Yes, I was aware of all of them","None did","None did","Yes, always","None of them","None of them","Some of my previous employers","Some of my previous employers","Yes, they all did","None of them","Maybe","I feel it would definitely affect my chances at being accepted.","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure","Maybe","Yes","Maybe","No","","","No","","0","Not applicable to me","Not applicable to me","26","Male","United States of America","New York","United States of America","New York","Back-end Developer","Sometimes"
"0","More than 1000","0","1","Yes","No","Yes","I don't know","I don't know","Somewhat easy","No","No","Maybe","Yes","I don't know","No","","","","","","","","","1","Some did","Yes, I was aware of all of them","Some did","Some did","Yes, always","None of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","None of them","No","I don't have any","No","Maybe","Maybe","Neutral","No","","No","No","No","","","No","","0","Not applicable to me","Not applicable to me","35","male","United States of America","Indiana","United States of America","Indiana","Other","Never"
"0","26-100","1","","Yes","Yes","No","No","I don't know","Very easy","Maybe","Maybe","Maybe","No","I don't know","No","","","","","","","","","1","Yes, they all did","Yes, I was aware of all of them","None did","None did","I don't know","I don't know","Some of them","Some of my previous employers","Some of my previous employers","I don't know","None of them","Maybe","","Maybe","Maybe","No, I don't think they would","Neutral","No","","I don't know","Maybe","No","","","No","","0","Not applicable to me","Not applicable to me","25","male","Germany","","Germany","","Back-end Developer","Sometimes"
