"id","candidate","candidate_confidence","relevant_yn","relevant_yn_confidence","sentiment","sentiment_confidence","subject_matter","subject_matter_confidence","candidate_gold","name","relevant_yn_gold","retweet_count","sentiment_gold","subject_matter_gold","text","tweet_coord","tweet_created","tweet_id","tweet_location","user_timezone"
"1","No candidate mentioned","1.0","yes","1.0","Neutral","0.6578","None of the above","1.0","","I_Am_Kenzi","","5","","","RT @NancyLeeGrahn: How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate","","2015-08-07T09:54:46-07:00","629697200650592256","","Quito"
"2","Scott Walker","1.0","yes","1.0","Positive","0.6333","None of the above","1.0","","PeacefulQuest","","26","","","RT @ScottWalker: Didn't catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF...","","2015-08-07T09:54:46-07:00","629697199560069120","",""
"3","No candidate mentioned","1.0","yes","1.0","Neutral","0.6629","None of the above","0.6629","","PussssyCroook","","27","","","RT @TJMShow: No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow.","","2015-08-07T09:54:46-07:00","629697199312482304","",""
"4","No candidate mentioned","1.0","yes","1.0","Positive","1.0","None of the above","0.7039","","MattFromTexas31","","138","","","RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on ...","","2015-08-07T09:54:45-07:00","629697197118861312","Texas","Central Time"
"5","Donald Trump","1.0","yes","1.0","Positive","0.7045","None of the above","1.0","","sharonDay5","","156","","","RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co...","","2015-08-07T09:54:45-07:00","629697196967903232","","Arizona"
"6","Ted Cruz","0.6332","yes","1.0","Positive","0.6332","None of the above","1.0","","DRJohnson11","","228","","","RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews","","2015-08-07T09:54:44-07:00","629697194283499520","","Central Time"
"7","No candidate mentioned","1.0","yes","1.0","Negative","0.6761","FOX News or Moderators","1.0","","DebWilliams57","","17","","","RT @warriorwoman91: I liked her and was happy when I heard she was going to be the moderator. Not anymore. #GOPDebate @megynkelly  https://...","","2015-08-07T09:54:44-07:00","629697192383672320","North Georgia","Eastern Time"
"8","No candidate mentioned","1.0","yes","1.0","Neutral","1.0","None of the above","1.0","","RaulAReyes","","0","","","Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate","","2015-08-07T09:54:44-07:00","629697192169750528","New York NY","Eastern Time"
"9","Ben Carson","1.0","yes","1.0","Negative","0.6889","None of the above","0.6444","","kengpdx","","0","","","Deer in the headlights RT @lizzwinstead: Ben Carson, may be the only brain surgeon who has performed a lobotomy on himself. #GOPDebate","","2015-08-07T09:54:44-07:00","629697190219243524","","Pacific Time"
"10","No candidate mentioned","0.4594","yes","0.6778","Negative","0.6778","None of the above","0.4594","","Kathielarsyn","","1","","","RT @NancyOsborne180: Last night's debate proved it! #GOPDebate #BATsAsk @BadassTeachersA #TBATs  https://t.co/G2gGjY1bJD","","2015-08-07T09:54:42-07:00","629697185093824512","",""
"11","Donald Trump","1.0","yes","1.0","Negative","1.0","None of the above","1.0","","jnjsmom","","0","","","@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate","","2015-08-07T09:54:42-07:00","629697185072988160","Peoria, IL","Central Time"
"12","Mike Huckabee","1.0","yes","1.0","Positive","1.0","Foreign Policy","0.652","","KLWorster","","188","","","RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV","","2015-08-07T09:54:42-07:00","629697184259305472","Fargo, ND","Central Time"
"13","No candidate mentioned","1.0","yes","1.0","Negative","0.6957","None of the above","1.0","","wiggerblonde","","0","","","Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ","","2015-08-07T09:54:42-07:00","629697183499943936","",""
