"meanfreq","sd","median","Q25","Q75","IQR","skew","kurt","sp.ent","sfm","mode","centroid","meanfun","minfun","maxfun","meandom","mindom","maxdom","dfrange","modindx","label"
"0.0597809849598081","0.0642412677031359","0.032026913372582","0.0150714886459209","0.0901934398654331","0.0751219512195122","12.8634618371626","274.402905502067","0.893369416700807","0.491917766397811","0.0","0.0597809849598081","0.084279106440321","0.0157016683022571","0.275862068965517","0.0078125","0.0078125","0.0078125","0.0","0.0","male"
"0.066008740387572","0.0673100287952527","0.040228734810579","0.0194138670478914","0.0926661901358113","0.0732523230879199","22.4232853628204","634.613854542068","0.892193242265734","0.513723842537073","0.0","0.066008740387572","0.107936553670454","0.0158259149357072","0.25","0.00901442307692308","0.0078125","0.0546875","0.046875","0.0526315789473684","male"
"0.0773155026958227","0.0838294209445061","0.0367184586699814","0.00870105655686762","0.131908017402113","0.123206960845246","30.7571545800584","1024.927704721","0.846389091878782","0.478904979116727","0.0","0.0773155026958227","0.0987062615673936","0.0156555772994129","0.271186440677966","0.00799005681818182","0.0078125","0.015625","0.0078125","0.0465116279069767","male"
"0.151228091724635","0.0721105872627985","0.158011187072716","0.0965817277812306","0.207955251709136","0.111373523927906","1.23283127554372","4.17729621025317","0.963322461535984","0.727231798861951","0.0838781852082039","0.151228091724635","0.0889648485504597","0.017797552836485","0.25","0.201497395833333","0.0078125","0.5625","0.5546875","0.247119078104994","male"
"0.135120387296677","0.0791461004935869","0.124656228727025","0.0787202178352621","0.206044928522805","0.127324710687543","1.10117366551545","4.3337131547091","0.971955076212905","0.783568057553871","0.1042614023145","0.135120387296677","0.106397844620363","0.0169312169312169","0.266666666666667","0.7128125","0.0078125","5.484375","5.4765625","0.208273894436519","male"
"0.132786407306188","0.0795568659729794","0.119089848308051","0.0679579929988331","0.209591598599767","0.141633605600933","1.93256243208397","8.30889503672364","0.96318134631677","0.73830700448564","0.112555425904317","0.132786407306188","0.110131920122721","0.0171122994652406","0.253968253968254","0.298221982758621","0.0078125","2.7265625","2.71875","0.125159642401022","male"
"0.150762330177465","0.0744632052034133","0.160106382978723","0.0928989361702128","0.205718085106383","0.11281914893617","1.53064323137138","5.98749765804991","0.967573069931702","0.762637670276566","0.0861968085106383","0.150762330177465","0.105944515254121","0.0262295081967213","0.266666666666667","0.479619565217391","0.0078125","5.3125","5.3046875","0.123991864787152","male"
"0.160514332166817","0.0767668848761485","0.144336775218427","0.110532168387609","0.231961874503574","0.121429706115965","1.39715636508704","4.76661069503212","0.959254569785851","0.719857907046562","0.128324066719619","0.160514332166817","0.093052430337196","0.0177580466148724","0.144144144144144","0.301339285714286","0.0078125","0.5390625","0.53125","0.28393665158371","male"
"0.142239416807037","0.0780184624458836","0.138587443946188","0.0882062780269058","0.208587443946188","0.120381165919283","1.09974615121553","4.07028370586557","0.97072293218034","0.770992054490076","0.219103139013453","0.142239416807037","0.0967289462068476","0.0179573512906846","0.25","0.336476293103448","0.0078125","2.1640625","2.15625","0.148272017837235","male"
"0.134328777309825","0.0803500276143771","0.121451346893898","0.0755799890049478","0.201957119296317","0.126377130291369","1.19036844433836","4.78730983303407","0.975246142524797","0.804505253038031","0.011698735568994","0.134328777309825","0.105880926304665","0.0193003618817853","0.262295081967213","0.340364583333333","0.015625","4.6953125","4.6796875","0.0899199815784929","male"
