"suite_id","sample_id","code","value","character"
"1","1","10","9","九"
"1","10","10","9","九"
"1","2","10","9","九"
"1","3","10","9","九"
"1","4","10","9","九"
"1","5","10","9","九"
"1","6","10","9","九"
"1","7","10","9","九"
"1","8","10","9","九"
"1","9","10","9","九"
"10","1","10","9","九"
"10","10","10","9","九"
"10","2","10","9","九"
"10","3","10","9","九"
"10","4","10","9","九"
"10","5","10","9","九"
"10","6","10","9","九"
"10","7","10","9","九"
"10","8","10","9","九"
"10","9","10","9","九"
"100","1","10","9","九"
"100","10","10","9","九"
"100","2","10","9","九"
"100","3","10","9","九"
"100","4","10","9","九"
"100","5","10","9","九"
"100","6","10","9","九"
"100","7","10","9","九"
"100","8","10","9","九"
"100","9","10","9","九"
"11","1","10","9","九"
"11","10","10","9","九"
"11","2","10","9","九"
"11","3","10","9","九"
"11","4","10","9","九"
"11","5","10","9","九"
"11","6","10","9","九"
"11","7","10","9","九"
"11","8","10","9","九"
"11","9","10","9","九"
"12","1","10","9","九"
"12","10","10","9","九"
"12","2","10","9","九"
"12","3","10","9","九"
"12","4","10","9","九"
"12","5","10","9","九"
"12","6","10","9","九"
"12","7","10","9","九"
"12","8","10","9","九"
"12","9","10","9","九"
"13","1","10","9","九"
"13","10","10","9","九"
"13","2","10","9","九"
"13","3","10","9","九"
"13","4","10","9","九"
"13","5","10","9","九"
"13","6","10","9","九"
"13","7","10","9","九"
"13","8","10","9","九"
"13","9","10","9","九"
"14","1","10","9","九"
"14","10","10","9","九"
"14","2","10","9","九"
"14","3","10","9","九"
"14","4","10","9","九"
"14","5","10","9","九"
"14","6","10","9","九"
"14","7","10","9","九"
"14","8","10","9","九"
"14","9","10","9","九"
"15","1","10","9","九"
"15","10","10","9","九"
"15","2","10","9","九"
"15","3","10","9","九"
"15","4","10","9","九"
"15","5","10","9","九"
"15","6","10","9","九"
"15","7","10","9","九"
"15","8","10","9","九"
"15","9","10","9","九"
"16","1","10","9","九"
"16","10","10","9","九"
"16","2","10","9","九"
"16","3","10","9","九"
"16","4","10","9","九"
"16","5","10","9","九"
"16","6","10","9","九"
"16","7","10","9","九"
"16","8","10","9","九"
"16","9","10","9","九"
"17","1","10","9","九"
"17","10","10","9","九"
"17","2","10","9","九"
"17","3","10","9","九"
"17","4","10","9","九"
"17","5","10","9","九"
"17","6","10","9","九"
"17","7","10","9","九"
"17","8","10","9","九"
"17","9","10","9","九"
"18","1","10","9","九"
"18","10","10","9","九"
"18","2","10","9","九"
"18","3","10","9","九"
"18","4","10","9","九"
"18","5","10","9","九"
"18","6","10","9","九"
"18","7","10","9","九"
"18","8","10","9","九"
"18","9","10","9","九"
"19","1","10","9","九"
"19","10","10","9","九"
"19","2","10","9","九"
"19","3","10","9","九"
"19","4","10","9","九"
"19","5","10","9","九"
"19","6","10","9","九"
"19","7","10","9","九"
"19","8","10","9","九"
"19","9","10","9","九"
"2","1","10","9","九"
"2","10","10","9","九"
"2","2","10","9","九"
"2","3","10","9","九"
"2","4","10","9","九"
"2","5","10","9","九"
"2","6","10","9","九"
"2","7","10","9","九"
"2","8","10","9","九"
"2","9","10","9","九"
"20","1","10","9","九"
"20","10","10","9","九"
"20","2","10","9","九"
"20","3","10","9","九"
"20","4","10","9","九"
"20","5","10","9","九"
"20","6","10","9","九"
"20","7","10","9","九"
"20","8","10","9","九"
"20","9","10","9","九"
"21","1","10","9","九"
"21","10","10","9","九"
"21","2","10","9","九"
"21","3","10","9","九"
"21","4","10","9","九"
"21","5","10","9","九"
"21","6","10","9","九"
"21","7","10","9","九"
"21","8","10","9","九"
"21","9","10","9","九"
"22","1","10","9","九"
"22","10","10","9","九"
"22","2","10","9","九"
"22","3","10","9","九"
"22","4","10","9","九"
"22","5","10","9","九"
"22","6","10","9","九"
"22","7","10","9","九"
"22","8","10","9","九"
"22","9","10","9","九"
"23","1","10","9","九"
"23","10","10","9","九"
"23","2","10","9","九"
"23","3","10","9","九"
"23","4","10","9","九"
"23","5","10","9","九"
"23","6","10","9","九"
"23","7","10","9","九"
"23","8","10","9","九"
"23","9","10","9","九"
"24","1","10","9","九"
"24","10","10","9","九"
"24","2","10","9","九"
"24","3","10","9","九"
"24","4","10","9","九"
"24","5","10","9","九"
"24","6","10","9","九"
"24","7","10","9","九"
"24","8","10","9","九"
"24","9","10","9","九"
"25","1","10","9","九"
"25","10","10","9","九"
"25","2","10","9","九"
"25","3","10","9","九"
"25","4","10","9","九"
"25","5","10","9","九"
"25","6","10","9","九"
"25","7","10","9","九"
"25","8","10","9","九"
"25","9","10","9","九"
"26","1","10","9","九"
"26","10","10","9","九"
"26","2","10","9","九"
"26","3","10","9","九"
"26","4","10","9","九"
"26","5","10","9","九"
"26","6","10","9","九"
"26","7","10","9","九"
"26","8","10","9","九"
"26","9","10","9","九"
"27","1","10","9","九"
"27","10","10","9","九"
"27","2","10","9","九"
"27","3","10","9","九"
"27","4","10","9","九"
"27","5","10","9","九"
"27","6","10","9","九"
"27","7","10","9","九"
"27","8","10","9","九"
"27","9","10","9","九"
"28","1","10","9","九"
"28","10","10","9","九"
"28","2","10","9","九"
"28","3","10","9","九"
"28","4","10","9","九"
"28","5","10","9","九"
"28","6","10","9","九"
"28","7","10","9","九"
"28","8","10","9","九"
"28","9","10","9","九"
"29","1","10","9","九"
"29","10","10","9","九"
"29","2","10","9","九"
"29","3","10","9","九"
"29","4","10","9","九"
"29","5","10","9","九"
"29","6","10","9","九"
"29","7","10","9","九"
"29","8","10","9","九"
"29","9","10","9","九"
"3","1","10","9","九"
"3","10","10","9","九"
"3","2","10","9","九"
"3","3","10","9","九"
"3","4","10","9","九"
"3","5","10","9","九"
"3","6","10","9","九"
"3","7","10","9","九"
"3","8","10","9","九"
"3","9","10","9","九"
"30","1","10","9","九"
"30","10","10","9","九"
"30","2","10","9","九"
"30","3","10","9","九"
"30","4","10","9","九"
"30","5","10","9","九"
"30","6","10","9","九"
"30","7","10","9","九"
"30","8","10","9","九"
"30","9","10","9","九"
"31","1","10","9","九"
"31","10","10","9","九"
"31","2","10","9","九"
"31","3","10","9","九"
"31","4","10","9","九"
"31","5","10","9","九"
"31","6","10","9","九"
"31","7","10","9","九"
"31","8","10","9","九"
"31","9","10","9","九"
"32","1","10","9","九"
"32","10","10","9","九"
"32","2","10","9","九"
"32","3","10","9","九"
"32","4","10","9","九"
"32","5","10","9","九"
"32","6","10","9","九"
"32","7","10","9","九"
"32","8","10","9","九"
"32","9","10","9","九"
"33","1","10","9","九"
"33","10","10","9","九"
"33","2","10","9","九"
"33","3","10","9","九"
"33","4","10","9","九"
"33","5","10","9","九"
"33","6","10","9","九"
"33","7","10","9","九"
"33","8","10","9","九"
"33","9","10","9","九"
"34","1","10","9","九"
"34","10","10","9","九"
"34","2","10","9","九"
"34","3","10","9","九"
"34","4","10","9","九"
"34","5","10","9","九"
"34","6","10","9","九"
"34","7","10","9","九"
"34","8","10","9","九"
"34","9","10","9","九"
"35","1","10","9","九"
"35","10","10","9","九"
"35","2","10","9","九"
"35","3","10","9","九"
"35","4","10","9","九"
"35","5","10","9","九"
"35","6","10","9","九"
"35","7","10","9","九"
"35","8","10","9","九"
"35","9","10","9","九"
"36","1","10","9","九"
"36","10","10","9","九"
"36","2","10","9","九"
"36","3","10","9","九"
"36","4","10","9","九"
"36","5","10","9","九"
"36","6","10","9","九"
"36","7","10","9","九"
"36","8","10","9","九"
"36","9","10","9","九"
"37","1","10","9","九"
"37","10","10","9","九"
"37","2","10","9","九"
"37","3","10","9","九"
"37","4","10","9","九"
"37","5","10","9","九"
"37","6","10","9","九"
"37","7","10","9","九"
"37","8","10","9","九"
"37","9","10","9","九"
"38","1","10","9","九"
"38","10","10","9","九"
"38","2","10","9","九"
"38","3","10","9","九"
"38","4","10","9","九"
"38","5","10","9","九"
"38","6","10","9","九"
"38","7","10","9","九"
"38","8","10","9","九"
"38","9","10","9","九"
"39","1","10","9","九"
"39","10","10","9","九"
"39","2","10","9","九"
"39","3","10","9","九"
"39","4","10","9","九"
"39","5","10","9","九"
"39","6","10","9","九"
"39","7","10","9","九"
"39","8","10","9","九"
"39","9","10","9","九"
"4","1","10","9","九"
"4","10","10","9","九"
"4","2","10","9","九"
"4","3","10","9","九"
"4","4","10","9","九"
"4","5","10","9","九"
"4","6","10","9","九"
"4","7","10","9","九"
"4","8","10","9","九"
"4","9","10","9","九"
"40","1","10","9","九"
"40","10","10","9","九"
"40","2","10","9","九"
"40","3","10","9","九"
"40","4","10","9","九"
"40","5","10","9","九"
"40","6","10","9","九"
"40","7","10","9","九"
"40","8","10","9","九"
"40","9","10","9","九"
"41","1","10","9","九"
"41","10","10","9","九"
"41","2","10","9","九"
"41","3","10","9","九"
"41","4","10","9","九"
"41","5","10","9","九"
"41","6","10","9","九"
"41","7","10","9","九"
"41","8","10","9","九"
"41","9","10","9","九"
"42","1","10","9","九"
"42","10","10","9","九"
"42","2","10","9","九"
"42","3","10","9","九"
"42","4","10","9","九"
"42","5","10","9","九"
"42","6","10","9","九"
"42","7","10","9","九"
"42","8","10","9","九"
"42","9","10","9","九"
"43","1","10","9","九"
"43","10","10","9","九"
