"Total Household Income","Region","Total Food Expenditure","Main Source of Income","Agricultural Household indicator","Bread and Cereals Expenditure","Total Rice Expenditure","Meat Expenditure","Total Fish and  marine products Expenditure","Fruit Expenditure","Vegetables Expenditure","Restaurant and hotels Expenditure","Alcoholic Beverages Expenditure","Tobacco Expenditure","Clothing, Footwear and Other Wear Expenditure","Housing and water Expenditure","Imputed House Rental Value","Medical Care Expenditure","Transportation Expenditure","Communication Expenditure","Education Expenditure","Miscellaneous Goods and Services Expenditure","Special Occasions Expenditure","Crop Farming and Gardening expenses","Total Income from Entrepreneurial Acitivites","Household Head Sex","Household Head Age","Household Head Marital Status","Household Head Highest Grade Completed","Household Head Job or Business Indicator","Household Head Occupation","Household Head Class of Worker","Type of Household","Total Number of Family members","Members with age less than 5 year old","Members with age 5 - 17 years old","Total number of family members employed","Type of Building/House","Type of Roof","Type of Walls","House Floor Area","House Age","Number of bedrooms","Tenure Status","Toilet Facilities","Electricity","Main Source of Water Supply","Number of Television","Number of CD/VCD/DVD","Number of Component/Stereo set","Number of Refrigerator/Freezer","Number of Washing Machine","Number of Airconditioner","Number of Car, Jeep, Van","Number of Landline/wireless telephones","Number of Cellular phone","Number of Personal Computer","Number of Stove with Oven/Gas Range","Number of Motorized Banca","Number of Motorcycle/Tricycle"
"480332","CAR","117848","Wage/Salaries","0","42140","38300","24676","16806","3325","13460","3000","0","0","4607","63636","30000","3457","4776","2880","36200","34056","7200","19370","44370","Female","49","Single","Teacher Training and Education Sciences Programs","With Job/Business","General elementary education teaching professionals","Worked for government/government corporation","Extended Family","4","0","1","1","Single house","Strong material","Strong","80","75","3","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","1","Own use, faucet, community water system","1","1","0","1","1","0","0","0","2","1","0","0","1"
"198235","CAR","67766","Wage/Salaries","0","17329","13008","17434","11073","2035","7833","2360","960","2132","8230","41370","27000","3520","12900","5700","29300","9150","1500","0","0","Male","40","Married","Transport Services Programs","With Job/Business","Transport conductors","Worked for private establishment","Single Family","3","0","1","2","Single house","Strong material","Strong","42","15","2","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","1","Own use, faucet, community water system","1","1","1","0","1","0","0","0","3","1","0","0","2"
"82785","CAR","61609","Wage/Salaries","1","34182","32001","7783","2590","1730","3795","4545","270","4525","2735","14340","7200","70","324","420","425","6450","500","0","0","Male","39","Married","Grade 3","With Job/Business","Farmhands and laborers","Worked for private establishment","Single Family","6","0","4","3","Single house","Light material","Light","35","12","1","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, shared with other household","0","Shared, faucet, community water system","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107589","CAR","78189","Wage/Salaries","0","34030","28659","10914","10812","690","7887","6280","480","0","1390","16638","6600","60","6840","660","300","3762","500","15580","15580","Male","52","Married","Elementary Graduate","With Job/Business","Rice farmers","Employer in own family-operated farm or business","Single Family","3","0","3","2","Single house","Light material","Light","30","15","1","Own or owner-like possession of house and lot","Closed pit","1","Own use, faucet, community water system","1","0","0","0","0","0","0","0","1","0","0","0","0"
"189322","CAR","94625","Wage/Salaries","0","34820","30167","18391","11309","1395","11260","6400","1040","0","4620","31122","16800","140","6996","2100","0","8472","1000","18887","75687","Male","65","Married","Elementary Graduate","With Job/Business","General managers/managing proprietors in transportation, storage and communications","Self-employed wihout any employee","Single Family","4","0","0","2","Single house","Light material","Quite Strong","54","16","3","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","1","Own use, faucet, community water system","1","0","0","1","0","0","0","0","3","0","0","0","1"
"152883","CAR","73326","Wage/Salaries","0","29065","25190","15336","8572","2614","9035","0","180","240","1930","22782","6600","95","4044","1500","0","5394","600","0","0","Male","46","Married","Second Year High School","With Job/Business","Heavy truck and lorry drivers","Worked for private establishment","Single Family","4","0","0","3","Single house","Mixed but predominantly strong materials","Strong","40","7","2","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","1","Own use, faucet, community water system","1","0","0","0","1","0","0","0","4","0","0","0","1"
"198621","CAR","104644","Wage/Salaries","0","40992","36312","12968","12310","2565","15620","6200","1920","0","7930","24126","12000","340","12696","1848","0","6126","6400","72290","72290","Male","45","Married","Third Year High School","With Job/Business","Rice farmers","Employer in own family-operated farm or business","Extended Family","5","1","0","1","Single house","Strong material","Strong","35","18","1","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","1","Own use, faucet, community water system","1","0","1","0","0","0","0","0","2","0","0","0","1"
"134961","CAR","95644","Other sources of Income","1","37168","28156","14640","15896","3365","10520","1130","480","0","4085","40776","19800","75","4140","3000","50","5562","1500","51840","51840","Male","33","Married","Business and Administration Programs","With Job/Business","Rice farmers","Employer in own family-operated farm or business","Extended Family","5","1","1","0","Single house","Strong material","Strong","35","48","2","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","1","Own use, faucet, community water system","1","1","0","0","1","0","0","0","2","0","0","0","1"
"171152","CAR","67348","Other sources of Income","0","23117","15845","11464","6685","1370","5235","10550","0","0","2780","8370","4200","200","7200","1800","8000","6510","500","0","0","Female","17","Single","First Year College","No Job/Business","","","Single Family","2","0","2","0","Single house","Strong material","Light","35","8","1","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, shared with other household","1","Shared, tubed/piped deep well","1","0","0","0","0","0","0","0","2","0","0","0","0"
"625753","CAR","158721","Enterpreneurial Activities","0","56003","43239","26488","25678","3880","11360","15620","0","0","7740","65730","27000","1786","5160","7200","13180","15210","4000","0","312974","Male","53","Married","High School Graduate","With Job/Business","Hog raising farmers","Self-employed wihout any employee","Extended Family","6","0","0","1","Single house","Strong material","Strong","70","12","3","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","1","Own use, faucet, community water system","1","0","1","1","0","0","1","0","4","1","0","0","0"
