"Region","Country","State","City","Month","Day","Year","AvgTemperature"
"Africa","Algeria","","Algiers","1","1","1995-01-01T00:00:00","64.2"
"Africa","Algeria","","Algiers","1","2","1995-01-01T00:00:00","49.4"
"Africa","Algeria","","Algiers","1","3","1995-01-01T00:00:00","48.8"
"Africa","Algeria","","Algiers","1","4","1995-01-01T00:00:00","46.4"
"Africa","Algeria","","Algiers","1","5","1995-01-01T00:00:00","47.9"
"Africa","Algeria","","Algiers","1","6","1995-01-01T00:00:00","48.7"
"Africa","Algeria","","Algiers","1","7","1995-01-01T00:00:00","48.9"
"Africa","Algeria","","Algiers","1","8","1995-01-01T00:00:00","49.1"
"Africa","Algeria","","Algiers","1","9","1995-01-01T00:00:00","49.0"
"Africa","Algeria","","Algiers","1","10","1995-01-01T00:00:00","51.9"
"Africa","Algeria","","Algiers","1","11","1995-01-01T00:00:00","51.7"
"Africa","Algeria","","Algiers","1","12","1995-01-01T00:00:00","51.3"
"Africa","Algeria","","Algiers","1","13","1995-01-01T00:00:00","47.0"
"Africa","Algeria","","Algiers","1","14","1995-01-01T00:00:00","46.9"
"Africa","Algeria","","Algiers","1","15","1995-01-01T00:00:00","47.5"
"Africa","Algeria","","Algiers","1","16","1995-01-01T00:00:00","45.9"
"Africa","Algeria","","Algiers","1","17","1995-01-01T00:00:00","44.5"
"Africa","Algeria","","Algiers","1","18","1995-01-01T00:00:00","50.7"
"Africa","Algeria","","Algiers","1","19","1995-01-01T00:00:00","54.0"
"Africa","Algeria","","Algiers","1","20","1995-01-01T00:00:00","52.6"
"Africa","Algeria","","Algiers","1","21","1995-01-01T00:00:00","54.2"
"Africa","Algeria","","Algiers","1","22","1995-01-01T00:00:00","51.0"
"Africa","Algeria","","Algiers","1","23","1995-01-01T00:00:00","53.5"
"Africa","Algeria","","Algiers","1","24","1995-01-01T00:00:00","54.2"
"Africa","Algeria","","Algiers","1","25","1995-01-01T00:00:00","54.2"
"Africa","Algeria","","Algiers","1","26","1995-01-01T00:00:00","52.6"
"Africa","Algeria","","Algiers","1","27","1995-01-01T00:00:00","55.5"
"Africa","Algeria","","Algiers","1","28","1995-01-01T00:00:00","53.8"
"Africa","Algeria","","Algiers","1","29","1995-01-01T00:00:00","54.3"
"Africa","Algeria","","Algiers","1","30","1995-01-01T00:00:00","57.4"
"Africa","Algeria","","Algiers","1","31","1995-01-01T00:00:00","56.9"
"Africa","Algeria","","Algiers","2","1","1995-01-01T00:00:00","50.4"
"Africa","Algeria","","Algiers","2","2","1995-01-01T00:00:00","50.1"
