"date","wounds","other","disease"
"1854-04-01T00:00:00","0","110","110"
"1854-05-01T00:00:00","0","95","105"
"1854-06-01T00:00:00","0","40","95"
"1854-07-01T00:00:00","0","140","520"
"1854-08-01T00:00:00","20","150","800"
"1854-09-01T00:00:00","220","230","740"
"1854-10-01T00:00:00","305","310","600"
"1854-11-01T00:00:00","480","290","820"
"1854-12-01T00:00:00","295","310","1100"
"1855-01-01T00:00:00","230","460","1440"
"1855-02-01T00:00:00","180","520","1270"
"1855-03-01T00:00:00","155","350","935"
"1855-04-01T00:00:00","195","195","560"
"1855-05-01T00:00:00","180","155","550"
"1855-06-01T00:00:00","330","130","650"
"1855-07-01T00:00:00","260","130","430"
"1855-08-01T00:00:00","290","110","490"
"1855-09-01T00:00:00","355","100","290"
"1855-10-01T00:00:00","135","95","245"
"1855-11-01T00:00:00","100","140","325"
"1855-12-01T00:00:00","40","120","215"
"1856-01-01T00:00:00","0","160","160"
"1856-02-01T00:00:00","0","100","100"
"1856-03-01T00:00:00","0","125","90"
